name,party,state,district,last_election,twitter,ballotpedia
Steve Hohe,Libertarian Party,Kansas,3,"November 8, 2022",['https://www.twitter.com/stevehoheks'],https://ballotpedia.org/Steve_Hohe
Christopher Dardzinski,,Michigan,13,"November 8, 2022",[],https://ballotpedia.org/Christopher_Dardzinski
Long Pham,Republican Party,California,45,"June 7, 2022",[],https://ballotpedia.org/Long_Pham_(California)
Diana DeGette,Democratic Party,Colorado,1,"November 8, 2022","['https://www.twitter.com/RepDianaDeGette', 'https://www.twitter.com/DeGette5280']",https://ballotpedia.org/Diana_DeGette
Richard Watkins,Democratic Party,North Carolina,4,"May 17, 2022",['https://www.twitter.com/RLWatkinsNC'],https://ballotpedia.org/Richard_Watkins
Blake Moore,Republican Party,Utah,1,"November 8, 2022","['https://www.twitter.com/RepBlakeMoore', 'https://www.twitter.com/ElectBlakeMoore']",https://ballotpedia.org/Blake_Moore
Christy Smith,Democratic Party,California,27,"November 8, 2022",['https://www.twitter.com/christysmithca'],https://ballotpedia.org/Christy_Smith
Jennifer Wexton,Democratic Party,Virginia,10,"November 8, 2022","['https://www.twitter.com/RepWexton', 'https://www.twitter.com/JenniferWexton']",https://ballotpedia.org/Jennifer_Wexton
Jeff Warner,Republican Party,Maryland,4,"November 8, 2022",[],https://ballotpedia.org/Jeff_Warner
Mark Robertson,Republican Party,Nevada,1,"November 8, 2022",['https://www.twitter.com/RobertsonforNV'],https://ballotpedia.org/Mark_Robertson_(Nevada)
Vicki Kraft,Republican Party,Washington,3,"August 2, 2022",['https://www.twitter.com/VickiKraft'],https://ballotpedia.org/Vicki_Kraft
Greg Tanaka,Democratic Party,California,16,"June 7, 2022","['https://www.twitter.com/greglintanaka', 'https://www.twitter.com/GregTanaka']",https://ballotpedia.org/Greg_Tanaka
Bianca Von Krieg,Democratic Party,California,11,"June 7, 2022",['https://www.twitter.com/therealbaroness'],https://ballotpedia.org/Bianca_Von_Krieg
Erin Houchin,Republican Party,Indiana,9,"November 8, 2022","['https://www.twitter.com/RepHouchin', 'https://www.twitter.com/Erin_Houchin']",https://ballotpedia.org/Erin_Houchin
Michael Maher,Republican Party,California,21,"November 8, 2022",['https://www.twitter.com/maher4congress'],https://ballotpedia.org/Michael_Maher_(California)
Alexander Mooney,Republican Party,West Virginia,2,"November 8, 2022",['https://www.twitter.com/RepAlexMooney'],https://ballotpedia.org/Alexander_Mooney
Tuan Le,Republican Party,Florida,10,"August 23, 2022",['https://www.twitter.com/TuanLeUSA'],https://ballotpedia.org/Tuan_Le
Alma Adams,Democratic Party,North Carolina,12,"November 8, 2022","['https://www.twitter.com/RepAdams', 'https://www.twitter.com/AlmaforCongress']",https://ballotpedia.org/Alma_Adams
John Selker,Democratic Party,Oregon,4,"May 17, 2022",['https://www.twitter.com/JohnSelker'],https://ballotpedia.org/John_Selker
Jimmy Fremgen,Democratic Party,California,7,"June 7, 2022",['https://www.twitter.com/Jimmy_Fremgen'],https://ballotpedia.org/Jimmy_Fremgen
Carolina Serrano,Republican Party,Nevada,1,"June 14, 2022",['https://www.twitter.com/Carolina4NV'],https://ballotpedia.org/Carolina_Serrano
Charles Hughes,Democratic Party,Illinois,6,"June 28, 2022",[],https://ballotpedia.org/Charles_Hughes
Angela Dwyer,Independent,West Virginia,2,"November 5, 2024",['https://www.twitter.com/mrsangelataylor'],https://ballotpedia.org/Angela_Dwyer
Mike Andriani,Republican Party,North Carolina,9,"May 17, 2022",['https://www.twitter.com/VoteAndriani'],https://ballotpedia.org/Mike_Andriani
Brent Roberson,Republican Party,North Carolina,1,"May 17, 2022",[],https://ballotpedia.org/Brent_Roberson
Max Semenenko,Republican Party,California,7,"November 8, 2022",[],https://ballotpedia.org/Max_Semenenko
Michael Turner,Republican Party,Ohio,10,"November 8, 2022","['https://www.twitter.com/RepMikeTurner', 'https://www.twitter.com/MikeTurnerOH']",https://ballotpedia.org/Michael_Turner_(Ohio)
Nida Allam,Democratic Party,North Carolina,4,"November 3, 2020",['https://www.twitter.com/NidaAllam'],https://ballotpedia.org/Nida_Allam
Carl Paladino,,New York,23,"August 23, 2022",['https://www.twitter.com/CarlPaladinoNY'],https://ballotpedia.org/Carl_P._Paladino
Max Della Pia,Democratic Party,New York,23,"November 8, 2022",['https://www.twitter.com/DellaPiaForNY23'],https://ballotpedia.org/Max_Della_Pia
