,fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,party_simple,key,ballotpedia,bioguide_id,twitter_name,twitter_id,twitter_status_tweet,twitter_status_name,twitter_status_id
0,H2CO07170,"AADLAND, ERIK",CO,7,REPUBLICAN PARTY,House,Open seat,P,Republican,erik  aadland,https://ballotpedia.org/Erik_Aadland,,AadlandforCO,1393032540345274368,,,
2,H2UT03280,"AALDERS, TIM",UT,3,REPUBLICAN PARTY,House,Challenger,C,Republican,tim  aalders,https://ballotpedia.org/Tim_Aalders,,,,,,
3,H2CA30291,"AAZAMI, SHERVIN",CA,32,DEMOCRATIC PARTY,House,Challenger,N,Democrat,shervin  aazami,https://ballotpedia.org/Shervin_Aazami,,AazamiShervin,1085635085892759554,,,
5,H2MN07162,"ABAHSAIN, JILL",MN,7,DEMOCRATIC-FARMER-LABOR,House,Challenger,P,Other,jill  abahsain,,,,,,,
6,H2NY12197,"ABDELHAMID, RANA",NY,12,DEMOCRATIC PARTY,House,Challenger,P,Democrat,rana  abdelhamid,,,,,,,
7,H2MN05174,"ABDIRAHMAN, SHUKRI ABDULLAHI MS.",MN,5,REPUBLICAN PARTY,House,Challenger,P,Republican,shukri  abdirahman,,,,,,,
8,H2OH09197,"ABDULLAHI, MUNIRA YASIN",OH,9,DEMOCRATIC PARTY,House,Challenger,N,Democrat,munira  abdullahi,,,,,,,
9,H0CA50129,"ABED, SAM",CA,50,REPUBLICAN PARTY,House,Challenger,C,Republican,sam  abed,,,,,,,
10,H2NY04251,"ABELOVE, JASON L",NY,4,DEMOCRATIC PARTY,House,Challenger,N,Democrat,jason  abelove,,,,,,,
11,H2HI01146,"ABKIN, STEVEN L.",HI,1,NONPARTISAN,House,Challenger,N,Other,steven  abkin,https://ballotpedia.org/Steven_Abkin,,,,,,
12,H2MN01371,"ABRAHAMSON, BRIAN",MN,1,OTHER,House,Challenger,N,Other,brian  abrahamson,https://ballotpedia.org/Brian_Abrahamson,,,,,,
14,H2SC04154,"ABUZEID, GEORGE ASSAD",SC,4,REPUBLICAN PARTY,House,Challenger,P,Republican,george  abuzeid,https://ballotpedia.org/George_Abuzeid,,GeorgeAbuzeidSC,1455182996793925634,,,
15,H2NH01254,"ACCIARD, JULIAN MARC",NH,1,REPUBLICAN PARTY,House,Challenger,P,Republican,julian  acciard,,,,,,,
16,H2CA18171,"ACEVEDO-ARREGUIN, LUIS",CA,18,DEMOCRATIC PARTY,House,Challenger,P,Democrat,luis  acevedoarreguin,,,,,,,
17,H2FL10218,"ACHENBACH, JACK JOSEPH",FL,10,DEMOCRATIC PARTY,House,Open seat,C,Democrat,jack  achenbach,https://ballotpedia.org/Jack_Achenbach,,JackAchenbach,,No tweets found.,Name not found.,
19,H2UT02431,"ACHESON, PHELAN DOUGLAS",UT,2,INDEPENDENT,House,Challenger,N,Other,phelan  acheson,,,,,,,
20,H2NC05165,"ACKERMAN, MICHAEL STEPHAN",NC,5,REPUBLICAN PARTY,House,Challenger,C,Republican,michael  ackerman,https://ballotpedia.org/Michael_Ackerman_(North_Carolina),,AckermanForNC,1392512404370690054,,,
22,H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,alma  adams,https://ballotpedia.org/Alma_Adams,A000370,RepAdams,2916086925,,,
23,H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,alma  adams,https://ballotpedia.org/Alma_Adams,A000370,AlmaforCongress,1609364557,,,
26,H2NV01322,"ADAMS, JANE",NV,1,REPUBLICAN PARTY,House,Challenger,N,Republican,jane  adams,https://ballotpedia.org/Jane_Adams,,iLoveJaneAdams,1503819567008821254,,,
27,H2TN03235,"ADAMS, MATT",TN,3,DEMOCRATIC PARTY,House,Challenger,P,Democrat,matt  adams,,,,,,,
28,H2SC06126,"ADDISON, MICHAEL ANTONIO DR.",SC,6,DEMOCRATIC PARTY,House,Challenger,N,Democrat,michael  addison,https://ballotpedia.org/Michael_Addison,,,,,,
29,H2TX09131,"ADDISON, RANDALL LEE MR.",TX,9,INDEPENDENT,House,Challenger,N,Other,randall  addison,,,,,,,
30,H2FL21132,"ADEIMY, DEBORAH",FL,22,REPUBLICAN PARTY,House,Challenger,N,Republican,deborah  adeimy,https://ballotpedia.org/Deborah_Adeimy,,DebAdeimy,1453211058160668677,,,
32,H2CT81017,"ADELPHI, ADRIAN",CT,81,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,Other,adrian  adelphi,,,,,,,
33,H6AL04098,"ADERHOLT, ROBERT B. REP.",AL,4,REPUBLICAN PARTY,House,Incumbent,N,Republican,robert  aderholt,https://ballotpedia.org/Robert_Aderholt,A000055,Robert_Aderholt,76452765,,,
35,H0KS03236,"ADKINS, AMANDA",KS,3,REPUBLICAN PARTY,House,Challenger,P,Republican,amanda  adkins,https://ballotpedia.org/Amanda_Adkins,,amanda_adkins,34021624,,,
36,H2VA07212,"ADKINS, GARY GENE",VA,7,REPUBLICAN PARTY,House,Challenger,N,Republican,gary  adkins,,,,,,,
37,H2NV02536,"AFZAL, JOSEPH EDWARD",NV,2,DEMOCRATIC PARTY,House,Challenger,N,Democrat,joseph  afzal,https://ballotpedia.org/Joseph_Afzal,,JoeyAfzal,1503193171144052737,,,
39,H2OH05054,"AGAN, JEFFREY JOHN MR. JR",OH,5,DEMOCRATIC PARTY,House,Challenger,N,Democrat,jeffrey  agan,,,,,,,
40,H2NY11165,"AGODA-KOUSSEMA, KOMI L.T. DR.",NY,11,DEMOCRATIC PARTY,House,Challenger,P,Democrat,komi  agodakoussema,https://ballotpedia.org/Komi_Agoda-Koussema,,Agoda4SIBK,1530028958535888896,,,
42,H2AK00374,"AGUAYO, DENNIS W. ""DENNY""",AK,0,NONPARTISAN,House,Open seat,N,Other,dennis  aguayo,https://ballotpedia.org/Dennis_Aguayo,,,,,,
43,H0FL04140,"AGUILAR, ERICK JAVIER",FL,4,REPUBLICAN PARTY,House,Challenger,P,Republican,erick  aguilar,https://ballotpedia.org/Erick_Aguilar,,ErickAguilarJAX,,No tweets found.,Name not found.,
45,H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar,A000371,RepPeteAguilar,3018670151,,,
46,H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar,A000371,PeteAguilar,768489333393272832,,,
48,H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar,A000371,aguilarpete,41533245,,,
49,H2IL03188,"AGUIRRE, JUAN ENRIQUE",IL,3,DEMOCRATIC PARTY,House,Challenger,P,Democrat,juan  aguirre,https://ballotpedia.org/Juan_Aguirre_(Illinois),,,,,,
51,H2IL08146,"AHMED, JUNAID",IL,8,DEMOCRATIC PARTY,House,Challenger,P,Democrat,junaid  ahmed,https://ballotpedia.org/Junaid_Ahmed,,JunaidForUs,1353769946556325889,,,
52,H2NC02279,"AHRENS, RICHARD JAMES JR.",NC,2,REPUBLICAN PARTY,House,Challenger,N,Republican,richard  ahrens,,,,,,,
53,H4NC02127,"AIKEN, CLAYTON CLAY",NC,4,DEMOCRATIC PARTY,House,Open seat,P,Democrat,clayton  aiken,https://ballotpedia.org/Clay_Aiken,,clayaiken,45924487,,,
55,H2NC01255,"AIKEN, WILLIAM",NC,1,REPUBLICAN PARTY,House,Open seat,P,Republican,william  aiken,https://ballotpedia.org/Will_Aiken,,,,,,
