name,party,state,district,last_election,twitter,ballotpedia
Tony Gonzales,Republican Party,Texas,23,8-Nov-22,"['https://www.twitter.com/RepTonyGonzales', 'https://www.twitter.com/TonyGonzales4TX']",https://ballotpedia.org/Tony_Gonzales
Willie Montague,Republican Party,Florida,10,23-Aug-22,['https://www.twitter.com/RepMontague'],https://ballotpedia.org/Willie_Montague
Michelle Munroe,Democratic Party,Georgia,1,24-May-22,['https://www.twitter.com/MunroeFor1CD'],https://ballotpedia.org/Michelle_Munroe
Phil Heimlich,Republican Party,Ohio,8,3-May-22,['https://www.twitter.com/philheimlich'],https://ballotpedia.org/Phil_Heimlich
Carl Boyanton,Republican Party,Mississippi,4,7-Jun-22,['https://www.twitter.com/Carl4congressms'],https://ballotpedia.org/Carl_Boyanton
Larry Gaither,Green Party,South Carolina,5,8-Nov-22,[],https://ballotpedia.org/Larry_Gaither
Kelly Daughtry,Republican Party,North Carolina,13,17-May-22,['https://www.twitter.com/KellyDaughtryNC'],https://ballotpedia.org/Kelly_Daughtry
Paul Whitehead,Republican Party,Georgia,2,24-May-22,['https://www.twitter.com/thatwhitehead'],https://ballotpedia.org/Paul_Whitehead
Jerry Barham,Republican Party,Missouri,5,2-Aug-22,[],https://ballotpedia.org/Jerry_Barham
Jesse Jensen,Republican Party,Washington,8,2-Aug-22,['https://www.twitter.com/JesseJensenWA'],https://ballotpedia.org/Jesse_Jensen
Ronnie Henley,Independent,Tennessee,8,8-Nov-22,['https://www.twitter.com/henley215'],https://ballotpedia.org/Ronnie_Henley
Surrea Ivy,Republican Party,Georgia,4,24-May-22,[],https://ballotpedia.org/Surrea_Ivy
Ed Rushman,Independent,California,46,7-Jun-22,['https://www.twitter.com/RushTheHouse'],https://ballotpedia.org/Ed_Rushman
Maite Salazar,Democratic Party,Missouri,5,2-Aug-22,[],https://ballotpedia.org/Maite_Salazar
Alison Hayden,Republican Party,California,14,8-Nov-22,"['https://www.twitter.com/Alison4Congress', 'https://www.twitter.com/Elled26']",https://ballotpedia.org/Alison_Hayden
Conrad Kress,Republican Party,Hawaii,1,8-Nov-22,['https://www.twitter.com/conradkressHI01'],https://ballotpedia.org/Conrad_Kress
Colin Allred,Democratic Party,Texas,32,8-Nov-22,"['https://www.twitter.com/RepColinAllred', 'https://www.twitter.com/ColinAllredTX']",https://ballotpedia.org/Colin_Allred
Mark Strauss,Republican Party,Mississippi,1,7-Jun-22,[],https://ballotpedia.org/Mark_Strauss
Andalib Odulate,Democratic Party,Maryland,8,19-Jul-22,['https://www.twitter.com/AndalibOdulate'],https://ballotpedia.org/Andalib_Odulate
Jay Mcfarland,United Utah Party,Utah,2,8-Nov-22,['https://www.twitter.com/JayMcfarland'],https://ballotpedia.org/Jay_Mcfarland
Wayne Steele,Democratic Party,Tennessee,4,8-Nov-22,[],https://ballotpedia.org/Wayne_Steele
Matthew Fogg,Democratic Party,Maryland,4,19-Jul-22,['https://www.twitter.com/MarshalFogg'],https://ballotpedia.org/Matthew_Fogg
Shaun Clarmont,Republican Party,Wisconsin,8,9-Aug-22,[],https://ballotpedia.org/Shaun_Clarmont
Jason Kishineff,Independent,California,4,7-Jun-22,['https://www.twitter.com/kishineff'],https://ballotpedia.org/Jason_Kishineff
Ashley Ramos,Republican Party,Illinois,2,28-Jun-22,[],https://ballotpedia.org/Ashley_Ramos
Greg Landsman,Democratic Party,Ohio,1,8-Nov-22,"['https://www.twitter.com/RepGregLandsman', 'https://www.twitter.com/votelandsman']",https://ballotpedia.org/Greg_Landsman
J.R. Ewing,Republican Party,Minnesota,1,24-May-22,[],https://ballotpedia.org/J.R._Ewing
D. Adam Smith,Democratic Party,Washington,9,8-Nov-22,"['https://www.twitter.com/RepAdamSmith', 'https://www.twitter.com/ElectAdamSmith']",https://ballotpedia.org/Adam_Smith_(Washington)
Patrick Post,No Party Affiliation,Florida,19,8-Nov-22,[],https://ballotpedia.org/Patrick_Post
Jeremiah Ross,Democratic Party,Oklahoma,3,8-Nov-22,[],https://ballotpedia.org/Jeremiah_Ross
Taylor Burks,Republican Party,Missouri,4,2-Aug-22,['https://www.twitter.com/taylorwburks'],https://ballotpedia.org/Taylor_Burks
Mark Cavener,Republican Party,Oregon,2,17-May-22,['https://www.twitter.com/MarkCavener'],https://ballotpedia.org/Mark_Cavener
Roy Williams Jr.,Democratic Party,Texas,30,1-Mar-22,['https://www.twitter.com/roywmsjr'],https://ballotpedia.org/Roy_Williams_Jr._(Texas)
Bill Johnson,Republican Party,Ohio,6,8-Nov-22,"['https://www.twitter.com/RepBillJohnson', 'https://www.twitter.com/JohnsonLeads']",https://ballotpedia.org/Bill_Johnson_(Ohio)
Mark Amodei,Republican Party,Nevada,2,8-Nov-22,"['https://www.twitter.com/markamodeinv2', 'https://www.twitter.com/AmodeiForNevada']",https://ballotpedia.org/Mark_Amodei
John Rose,Republican Party,Tennessee,6,8-Nov-22,"['https://www.twitter.com/RepJohnRose', 'https://www.twitter.com/JohnRoseforTN']",https://ballotpedia.org/John_Rose_(Tennessee)
James Curtis,Democratic Party,Maryland,4,19-Jul-22,['https://www.twitter.com/Curtis4change'],https://ballotpedia.org/James_Curtis
Derek Chartrand,Republican Party,Washington,1,2-Aug-22,['https://www.twitter.com/ChartrandFor'],https://ballotpedia.org/Derek_Chartrand
Mark Pierce,Republican Party,California,27,7-Jun-22,[],https://ballotpedia.org/Mark_Pierce_(California)
Jullian Bishop Sr.,Democratic Party,North Carolina,1,17-May-22,[],https://ballotpedia.org/Jullian_Bishop_Sr.
Bevin Cormack,Republican Party,Ohio,14,3-May-22,[],https://ballotpedia.org/Bevin_Cormack
Robert Raymond,Independent,Wisconsin,4,8-Nov-22,[],https://ballotpedia.org/Robert_Raymond
Teresa Leger Fernandez,Democratic Party,New Mexico,3,8-Nov-22,"['https://www.twitter.com/RepTeresaLF', 'https://www.twitter.com/TeresaForNM']",https://ballotpedia.org/Teresa_Leger_Fernandez
Mike Calhoun,Republican Party,Nebraska,3,10-May-22,[],https://ballotpedia.org/Mike_Calhoun
Naomi Andrews,Democratic Party,Oklahoma,2,8-Nov-22,['https://www.twitter.com/NaomiForOK'],https://ballotpedia.org/Naomi_Andrews_(Oklahoma)
Anna Eshoo,Democratic Party,California,16,8-Nov-22,"['https://www.twitter.com/RepAnnaEshoo', 'https://www.twitter.com/Eshoo4Congress']",https://ballotpedia.org/Anna_Eshoo
Guy McLendon,Libertarian Party,Louisiana,3,8-Nov-22,[],https://ballotpedia.org/Guy_McLendon
