fec_id,name,state,district,party,office,incumbent_challenge,candidate_status
H2CO07170,"AADLAND, ERIK",CO,07,REPUBLICAN PARTY,House,Open seat,P
H2UT03280,"AALDERS, TIM",UT,03,REPUBLICAN PARTY,House,Challenger,C
H2CA30291,"AAZAMI, SHERVIN",CA,32,DEMOCRATIC PARTY,House,Challenger,N
H2MN07162,"ABAHSAIN, JILL",MN,07,DEMOCRATIC-FARMER-LABOR,House,Challenger,P
H2NY12197,"ABDELHAMID, RANA",NY,12,DEMOCRATIC PARTY,House,Challenger,P
H2MN05174,"ABDIRAHMAN, SHUKRI ABDULLAHI MS.",MN,05,REPUBLICAN PARTY,House,Challenger,P
H2OH09197,"ABDULLAHI, MUNIRA YASIN",OH,09,DEMOCRATIC PARTY,House,Challenger,N
H0CA50129,"ABED, SAM",CA,50,REPUBLICAN PARTY,House,Challenger,C
H2NY04251,"ABELOVE, JASON L",NY,04,DEMOCRATIC PARTY,House,Challenger,N
H2HI01146,"ABKIN, STEVEN L.",HI,01,NONPARTISAN,House,Challenger,N
H2MN01371,"ABRAHAMSON, BRIAN",MN,01,OTHER,House,Challenger,N
H2SC04154,"ABUZEID, GEORGE ASSAD",SC,04,REPUBLICAN PARTY,House,Challenger,P
H2NH01254,"ACCIARD, JULIAN MARC",NH,01,REPUBLICAN PARTY,House,Challenger,P
H2CA18171,"ACEVEDO-ARREGUIN, LUIS",CA,18,DEMOCRATIC PARTY,House,Challenger,P
H2FL10218,"ACHENBACH, JACK JOSEPH",FL,10,DEMOCRATIC PARTY,House,Open seat,C
H2UT02431,"ACHESON, PHELAN DOUGLAS",UT,02,INDEPENDENT,House,Challenger,N
H2NC05165,"ACKERMAN, MICHAEL STEPHAN",NC,05,REPUBLICAN PARTY,House,Challenger,C
H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N
H2NV01322,"ADAMS, JANE",NV,01,REPUBLICAN PARTY,House,Challenger,N
H2TN03235,"ADAMS, MATT",TN,03,DEMOCRATIC PARTY,House,Challenger,P
H2SC06126,"ADDISON, MICHAEL ANTONIO DR.",SC,06,DEMOCRATIC PARTY,House,Challenger,N
H2TX09131,"ADDISON, RANDALL LEE MR.",TX,09,INDEPENDENT,House,Challenger,N
H2FL21132,"ADEIMY, DEBORAH",FL,22,REPUBLICAN PARTY,House,Challenger,N
H2CT81017,"ADELPHI, ADRIAN",CT,81,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N
H6AL04098,"ADERHOLT, ROBERT B. REP.",AL,04,REPUBLICAN PARTY,House,Incumbent,N
H0KS03236,"ADKINS, AMANDA",KS,03,REPUBLICAN PARTY,House,Challenger,P
H2VA07212,"ADKINS, GARY GENE",VA,07,REPUBLICAN PARTY,House,Challenger,N
H2NV02536,"AFZAL, JOSEPH EDWARD",NV,02,DEMOCRATIC PARTY,House,Challenger,N
H2OH05054,"AGAN, JEFFREY JOHN MR. JR",OH,05,DEMOCRATIC PARTY,House,Challenger,N
H2NY11165,"AGODA-KOUSSEMA, KOMI L.T. DR.",NY,11,DEMOCRATIC PARTY,House,Challenger,P
H2AK00374,"AGUAYO, DENNIS W. ""DENNY""",AK,00,NONPARTISAN,House,Open seat,N
H0FL04140,"AGUILAR, ERICK JAVIER",FL,04,REPUBLICAN PARTY,House,Challenger,P
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C
H2IL03188,"AGUIRRE, JUAN ENRIQUE",IL,03,DEMOCRATIC PARTY,House,Challenger,P
H2IL08146,"AHMED, JUNAID",IL,08,DEMOCRATIC PARTY,House,Challenger,P
H2NC02279,"AHRENS, RICHARD JAMES JR.",NC,02,REPUBLICAN PARTY,House,Challenger,N
H4NC02127,"AIKEN, CLAYTON CLAY",NC,04,DEMOCRATIC PARTY,House,Open seat,P
H2NC01255,"AIKEN, WILLIAM",NC,01,REPUBLICAN PARTY,House,Open seat,P
H0HI02213,"AKANA, JOSEPH",HI,02,REPUBLICAN PARTY,House,Challenger,P
H2NY05118,"AKHLAGHY, NADER",NY,05,PEACE AND FREEDOM PARTY,House,Challenger,N
H2OR04152,"AL-ABDRABBUH, SAMI",OR,04,DEMOCRATIC PARTY,House,Open seat,P
H2FL11166,"ALCANTARA, CHRISTOPHER MANUEL",FL,11,NO PARTY AFFILIATION,House,Challenger,N
H6NH02089,"ALCIERE, TOM",NH,01,REPUBLICAN PARTY,House,Challenger,N
H2AL01200,"ALCORN, PETER DAVID",AL,01,REPUBLICAN PARTY,House,Challenger,N
H2HI01112,"ALCUBILLA, SERGIO JOSEPHUS MR. III",HI,01,DEMOCRATIC PARTY,House,Challenger,P
H2OH07258,"ALEXANDER, ANTHONY LEON",OH,07,REPUBLICAN PARTY,House,Open seat,N
H2WI02199,"ALEXANDER, DOUGLAS",WI,02,INDEPENDENT,House,Challenger,N
H2OH11300,"ALEXANDER, MARTIN",OH,06,DEMOCRATIC PARTY,House,Challenger,N
H2MO07127,"ALEXANDER, SAM DR",MO,07,REPUBLICAN PARTY,House,Open seat,C
H2NJ02193,"ALEXANDER, TIMOTHY C",NJ,02,DEMOCRATIC PARTY,House,Challenger,P
H2MI04260,"ALFONSO, JOSEPH",MI,04,DEMOCRATIC PARTY,House,Challenger,N
H2MO04207,"ALFORD, MARK",MO,04,REPUBLICAN PARTY,House,Incumbent,C
H2NC06098,"ALLAM, NIDA",NC,04,DEMOCRATIC PARTY,House,Challenger,P
H2CO08103,"ALLCORN, TYLER",CO,08,REPUBLICAN PARTY,House,Open seat,C
H2IN07195,"ALLEN, BILL",IN,07,REPUBLICAN PARTY,House,Challenger,C
H4CA24175,"ALLEN, BRAD DR",CA,24,REPUBLICAN PARTY,House,Challenger,N
H2CA24229,"ALLEN, BRAD DR.",CA,24,REPUBLICAN PARTY,House,Challenger,P
H2PA10108,"ALLEN, BRIAN",PA,10,REPUBLICAN PARTY,House,Challenger,P
H2IL17105,"ALLEN, COREY",IL,17,REPUBLICAN PARTY,House,Open seat,N
H2SC07256,"ALLEN, GRAHAM",SC,07,REPUBLICAN PARTY,House,Challenger,C
H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C
H2SC01093,"ALLEN, THOMAS JASON",SC,01,REPUBLICAN PARTY,House,Challenger,N
H2TN06154,"ALLEY, JOSH",TN,06,INDEPENDENT,House,Challenger,N
H2MD04364,"ALLISON, TAMMY",MD,04,DEMOCRATIC PARTY,House,Open seat,N
H8TX32098,"ALLRED, COLIN",TX,32,DEMOCRATIC PARTY,House,Incumbent,C
H0GA03074,"ALMONORD, VALBRUN DR.",GA,03,DEMOCRATIC PARTY,House,Challenger,P
H2FL23120,"ALMONTE, MELINDA",FL,24,REPUBLICAN PARTY,House,Challenger,C
H2OR06108,"ALONSO LEON, TERESA",OR,06,DEMOCRATIC PARTY,House,Open seat,P
H8IN09131,"ALSPACH, JAMES DEAN",IN,06,REPUBLICAN PARTY,House,Challenger,N
H2VA02072,"ALTMAN, LARRY THOMAS III",VA,02,REPUBLICAN PARTY,House,Challenger,C
H2TX15146,"ALVARADO, ELIZA DR.",TX,15,DEMOCRATIC PARTY,House,Challenger,C
H2TX22134,"ALVAREZ, ANDREW RUBEN",TX,09,REPUBLICAN PARTY,House,Challenger,N
H2GA10174,"ALVEY, ANDREW",GA,10,REPUBLICAN PARTY,House,Open seat,N
H4AS00036,"AMATA, AUMUA",AS,00,REPUBLICAN PARTY,House,Incumbent,C
H2CA23148,"AMATO, BRUNO",CA,23,DEMOCRATIC PARTY,House,Challenger,C
H2AK00556,"AMBROSE, DAVID",AK,00,WRITE-IN,House,Challenger,N
