"Table HCEmpl. Health care employment and wages, by selected occupations: United States, selected years 2000–2020",,,,,,,,,,,,,,
Excel version (with more data years and standard errors when available): https://www.cdc.gov/nchs/hus/contents2020-2021.htm#Table-HCEmpl,,,,,,,,,,,,,,
[Data are based on a semiannual survey of nonfarm establishments],,,,,,,,,,,,,,
,Employment\1,,,,,,,Mean hourly wage (dollars)\2,,,,,,
Occupation title,2000,2005,2009,2010,2015,2016,2020,2000,2005,2009,2010,2015,2016,2020
Health care practitioners and technical occupations,,,,,,,,,,,,,,
Audiologists,"11,530","10,030","12,590","12,860","12,070","12,310","13,300",22.92,27.72,32.14,33.58,37.22,38.12,42.90
Cardiovascular technologists and technicians,"40,080","43,560","48,070","48,720","51,400","53,760","55,980",16.81,19.99,23.91,24.38,26.97,27.45,29.30
Clinical laboratory technologists and technicians,…,…,…,…,"320,550","326,920","326,220",…,…,…,…,24.91,25.13,26.92
Dental hygienists,"148,460","161,140","173,900","177,520","200,550","204,990","194,830",24.99,29.15,32.63,33.02,34.96,35.31,37.53
Diagnostic medical sonographers,"31,760","43,590","51,630","53,010","61,250","65,790","73,920",22.03,26.65,30.60,31.20,34.08,34.49,37.40
Dietetic technicians,"28,010","23,780","24,510","23,890","28,950","32,240","26,430",10.98,12.20,13.72,13.86,14.03,14.12,15.83
Dietitians and nutritionists,"43,030","48,850","53,220","53,510","59,740","61,430","66,330",18.76,22.09,25.59,26.13,28.08,28.69,30.84
Emergency medical technicians and paramedics,"165,530","196,880","217,920","221,760","236,890","244,960","257,700",11.89,13.68,15.88,16.01,17.04,17.36,19.41
Licensed practical and licensed vocational nurses,"679,470","710,020","728,670","730,290","697,250","702,400","676,440",14.65,17.41,19.66,19.88,21.17,21.56,24.08
Magnetic resonance imaging technologists\3,…,…,…,…,"33,460","35,850","39,270",…,…,…,…,32.86,33.29,36.52
"Medical dosimetrists, medical records specialists, and health technologists and technicians, all other",…,…,…,…,…,…,"318,010",…,…,…,…,…,…,23.21
Nuclear medicine technologists,"18,030","18,280","21,670","21,600","19,740","19,650","17,510",21.56,29.10,32.91,33.20,36.06,36.52,39.46
Nurse anesthetists\4,…,…,…,…,"39,410","39,860","41,960",…,…,…,…,77.04,78.86,90.96
Nurse midwives\4,…,…,…,…,"7,430","6,270","7,120",…,…,…,…,45.01,49.23,55.55
Nurse practitioners\4,…,…,…,…,"136,060","150,230","211,280",…,…,…,…,48.68,50.30,55.05
Occupational therapists,"75,150","87,430","97,840","100,300","114,660","118,070","126,610",24.10,28.41,33.98,35.28,39.27,40.25,42.06
"Opticians, dispensing","66,580","70,090","60,840","62,200","73,520","75,270","68,180",12.67,14.80,16.73,16.73,17.70,18.20,19.89
Pharmacists,"212,660","229,740","267,860","268,030","295,620","305,510","315,470",33.39,42.62,51.27,52.59,57.34,57.82,60.32
Pharmacy technicians,"190,940","266,790","331,890","333,500","379,430","398,390","415,310",10.38,12.19,13.92,14.10,15.23,15.47,17.52
