,word,value
0,action,4
1,agree,4
2,balance,4
3,balanced,4
4,banks,4
5,bipartisan,4
6,budget,4
7,century,4
8,challenge,4
9,challenges,4
10,chamber,4
11,change,4
12,child,4
13,children,4
14,childrens,4
15,china,4
16,college,4
17,common,4
18,communities,4
19,community,4
20,congress,4
21,credit,4
22,crime,4
23,crisis,4
24,decisions,4
25,deficit,4
26,differences,4
27,economic,4
28,economy,4
29,education,4
30,effort,4
31,efforts,4
32,europe,4
33,families,4
34,fellow,4
35,financial,4
36,forward,4
37,future,4
38,generation,4
39,global,4
40,growth,4
41,health,4
42,helped,4
43,homes,4
44,house,4
45,increase,4
46,internet,4
47,invest,4
48,investment,4
49,issue,4
50,issues,4
51,leadership,4
52,loans,4
53,longterm,4
54,markets,4
55,means,4
56,million,4
57,moment,4
58,national,4
59,opportunity,4
60,pakistan,4
61,parents,4
62,perfect,4
63,politics,4
64,private,4
65,propose,4
66,prosperity,4
67,provide,4
68,qaeda,4
69,question,4
70,racial,4
71,recession,4
72,recognize,4
73,recovery,4
74,reduce,4
75,responsibility,4
76,reverend,4
77,revolution,4
78,school,4
79,schools,4
80,science,4
81,sense,4
82,service,4
83,simply,4
84,single,4
85,solve,4
86,spending,4
87,standards,4
88,start,4
89,steps,4
90,streets,4
91,strengthen,4
92,stronger,4
93,students,4
94,support,4
95,teachers,4
96,technology,4
97,tonight,4
98,trade,4
99,troops,4
100,union,4
101,values,4
102,welfare,4
103,white,4
104,black,4
105,forge,4
106,lines,4
107,ultimately,4
108,guantanamo,4
109,package,4
110,detainees,4
111,accountable,3
112,actions,3
113,address,3
114,administration,3
115,afford,3
116,affordable,3
117,answer,3
118,approach,3
119,begin,3
120,bridge,3
121,building,3
122,chance,3
123,checks,3
124,citizen,3
125,classroom,3
126,clean,3
127,combat,3
128,consensus,3
129,consumers,3
130,corps,3
131,costs,3
132,critical,3
133,decade,3
134,decline,3
135,depression,3
136,difficult,3
137,direction,3
138,dollar,3
139,doubt,3
140,enormous,3
141,entire,3
142,environment,3
143,expand,3
144,extraordinary,3
145,family,3
146,finish,3
147,fundamental,3
148,generations,3
149,housing,3
150,hundred,3
151,ideas,3
152,incentives,3
153,individual,3
154,initiative,3
155,international,3
156,investments,3
157,journey,3
158,kinds,3
159,largest,3
160,lasting,3
161,learning,3
162,legacy,3
163,lives,3
164,market,3
165,measure,3
166,millennium,3
167,months,3
168,moved,3
169,neighborhoods,3
170,opportunities,3
171,partners,3
172,partnership,3
173,poverty,3
174,preserve,3
175,prevent,3
176,programs,3
177,proposal,3
178,public,3
179,quality,3
180,raise,3
181,reach,3
182,restore,3
183,review,3
184,rural,3
185,sector,3
186,serving,3
187,shape,3
188,shortterm,3
189,strategy,3
190,street,3
191,strongest,3
192,succeed,3
193,surplus,3
194,teacher,3
195,transparency,3
196,unprecedented,3
197,worlds,3
198,finance,3
199,fiscal,3
200,harder,3
201,immigrants,3
202,lowest,3
203,planet,3
204,waste,3
205,bosnia,3
206,discrimination,3
207,doors,3
208,exist,3
209,globalization,3
210,recommend,3
211,stimulus,3
212,summit,3
213,treaty,3
214,wright,3
215,commissions,3
216,compensation,3
217,interrogation,3
218,lending,3
219,anger,2
220,assure,2
221,authority,2
222,blame,2
223,built,2
224,campaign,2
225,cancer,2
226,capacity,2
227,choose,2
228,churches,2
229,civil,2
230,complete,2
231,confidence,2
232,courts,2
233,creating,2
234,determination,2
235,discipline,2
236,earlier,2
237,economies,2
238,effective,2
239,enable,2
240,enduring,2
241,ensure,2
242,european,2
243,expanded,2
244,exports,2
245,federal,2
246,foundation,2
247,government,2
248,ground,2
249,hands,2
250,havens,2
251,includes,2
252,incomes,2
253,investing,2
254,knowledge,2
255,legitimate,2
256,lifetime,2
257,maintain,2
258,marines,2
259,mutual,2
260,pleased,2
261,police,2
262,policies,2
263,proposed,2
264,proud,2
265,remain,2
266,renew,2
267,rewards,2
268,rolls,2
269,saving,2
270,served,2
271,spirit,2
272,spring,2
273,student,2
274,summer,2
275,surely,2
276,thousand,2
277,times,2
278,tomorrow,2
279,tools,2
280,truth,2
281,tuition,2
282,watching,2
283,closer,2
284,michael,2
285,payments,2
286,space,2
287,aging,2
288,americorps,2
289,asian,2
290,boldly,2
291,brady,2
292,classrooms,2
293,efficient,2
294,endeavor,2
295,kenya,2
296,organized,2
297,richard,2
298,tobacco,2
299,trouble,2
300,whove,2
301,biden,2
302,brown,2
303,document,2
304,economists,2
305,elkhart,2
306,extraordinarily,2
307,french,2
308,michelle,2
309,oversight,2
310,spectrum,2
311,sustainable,2
312,ability,1
313,accountability,1
314,africanamerican,1
315,alliances,1
316,arguments,1
317,ashley,1
318,assistance,1
319,begins,1
320,bottom,1
321,break,1
322,burden,1
323,camps,1
324,capital,1
325,carry,1
326,carrying,1
327,celebrate,1
328,charter,1
329,church,1
330,completely,1
331,comprehensive,1
332,conflicts,1
333,constructive,1
334,creed,1
335,crises,1
336,debate,1
337,decide,1
338,defeat,1
339,designed,1
340,diplomacy,1
341,disagree,1
342,districts,1
343,divide,1
344,documents,1
345,doesnt,1
346,dreams,1
347,establish,1
348,failure,1
349,falling,1
350,father,1
351,finest,1
352,firms,1
353,fought,1
354,founders,1
355,goals,1
356,grade,1
357,grant,1
358,guarantee,1
359,guarantees,1
360,improved,1
361,india,1
362,language,1
363,legislation,1
364,listening,1
365,local,1
366,losing,1
367,match,1
368,methods,1
369,miles,1
370,mistake,1
371,mother,1
372,mothers,1
373,notion,1
374,operate,1
375,partner,1
376,pension,1
377,pollution,1
378,possibility,1
379,powerful,1
380,precious,1
381,presidents,1
382,pursue,1
383,raised,1
384,range,1
385,rates,1
386,relationship,1
387,release,1
388,reminds,1
389,report,1
390,republicans,1
391,requires,1
392,research,1
393,reward,1
394,rooted,1
395,safer,1
396,savings,1
397,scores,1
398,senate,1
399,short,1
400,sitting,1
401,social,1
402,soldiers,1
403,stood,1
404,stopped,1
405,stories,1
406,struggling,1
407,table,1
408,taxpayer,1
409,teach,1
410,technologies,1
411,toxic,1
412,training,1
413,traveled,1
414,treasures,1
415,trust,1
416,unemployment,1
417,weakened,1
418,worth,1
419,acknowledge,1
420,aisle,1
421,announce,1
422,computer,1
423,convention,1
424,cycle,1
425,effectively,1
426,flowing,1
427,intend,1
428,joint,1
429,minimum,1
430,partnerships,1
431,reality,1
432,regulatory,1
433,shores,1
434,adversaries,1
435,alive,1
436,applaud,1
437,applied,1
438,captain,1
439,commonsense,1
440,connect,1
441,conversation,1
442,deepen,1
443,dialogue,1
444,economically,1
445,empowerment,1
446,endanger,1
447,expensive,1
448,extending,1
449,graduates,1
450,greenhouse,1
451,harness,1
452,kosovo,1
453,launching,1
454,library,1
455,memories,1
456,mortgage,1
457,native,1
458,privacy,1
459,publicly,1
460,recognition,1
461,repeat,1
462,responded,1
463,restoring,1
464,reverse,1
465,rivers,1
466,salaries,1
467,scholarships,1
468,shareholders,1
469,warming,1
470,blacks,1
471,coordinated,1
472,detention,1
473,diplomatic,1
474,executives,1
475,homeowners,1
476,laying,1
477,reinvestment,1
478,sermons,1
479,strasbourg,1
480,techniques,1
481,wrights,1
482,accept,-1
483,access,-1
484,accomplished,-1
485,accounts,-1
486,active,-1
487,additional,-1
488,adopted,-1
489,afghan,-1
490,agencies,-1
491,agents,-1
492,aggression,-1
493,aggressive,-1
494,ahead,-1
495,allowing,-1
496,alternative,-1
497,amount,-1
498,baghdad,-1
499,ballistic,-1
500,beliefs,-1
501,benefits,-1
502,bigotry,-1
503,broader,-1
504,brought,-1
505,charging,-1
506,chief,-1
507,civilization,-1
508,closely,-1
509,condemned,-1
510,confronted,-1
511,congratulations,-1
512,consequences,-1
513,conservative,-1
514,construction,-1
