,date_created,username,verified_status,tweet_id,likes,views,replies,retweets,source,language,retweeted_id,quoted_id,text
0,2020-01-01 14:35:00+00:00,SenSherrodBrown,True,1212381714296623104,954,,51,68,TweetDeck,en,,,"Happy New Year! Looking forward to getting to work – we have a lot to do, from protecting Ohioans' pensions and healthcare, to continuing our push for gun safety reform, and overhauling our tax code to respect the dignity of work."
1,2020-01-01 17:00:00+00:00,SenatorCantwell,True,1212418204355694592,61,,10,10,TweetDeck,en,,,"As we reflect on 2019 and look forward to 2020, I hope the coming year brings health and happiness to everyone. Happy New Year! https://t.co/pBS4qe9qQi"
2,2020-01-01 17:45:11+00:00,SenatorCardin,True,1212429574371520513,35,,7,8,Twitter for Android,en,,,"Happy New Year's Day to all! 2019 delivered both challenges and progress. As we look toward 2020 and the new decade ahead of us, we’re prepared to continue to fight for our values and prosperity for all Americans."
3,2020-01-01 16:03:16+00:00,SenBobCasey,True,1212403927129427969,142,,13,15,Twitter for iPhone,en,,,"Happy New Year! May 2020 be filled with health, happiness and many blessings. https://t.co/kWe1TaBx4N"
4,2020-01-01 02:27:00+00:00,SenFeinstein,True,1212198506653466632,1265,,99,97,TweetDeck,en,,,"Best wishes for a safe New Year’s Eve and a wonderful New Year to everyone in California and across the country. Here’s to a happy, healthy and productive 2020."
5,2020-01-01 18:51:03+00:00,SenSanders,True,1212446150877421569,7756,,235,1080,Twitter for iPhone,en,,,Congratulations to the 47 states and localities that are raising the minimum wage today—the largest number of jurisdictions in history. https://t.co/rAAEVugyPH
6,2020-01-01 03:54:25+00:00,SenSanders,True,1212220505757011968,15141,,507,1168,Twitter for iPhone,en,,,"As 2019 comes to an end, Jane and I want to wish all of you a happy New Year's Eve and a healthy and wonderful new year."
7,2020-01-01 02:04:01+00:00,SenSanders,True,1212192725451395074,7284,,294,1037,Twitter Web App,en,,,"In 2020, the minimum wage in 32 jurisdictions throughout the country will reach or surpass $15 an hour. 

Now it's time to make this a reality everywhere in America."
8,2020-01-01 16:41:52+00:00,SenStabenow,True,1212413641309462540,49,,6,5,Twitter for iPad,en,,,Can’t think of a better way to start the new year than by watching @UMichFootball beat @AlabamaFTBL in the @CitrusBowl today. #GoBlue!
9,2020-01-01 16:42:32+00:00,SenatorTester,True,1212413809341669381,212,,29,13,Twitter for iPhone,en,,,"Hoping everyone has a happy and prosperous New Year! I’m honored every day to serve Montana in the Senate, and will continue fighting for our great state as we ring in a new decade. New year, still the Last Best Place. https://t.co/pjHVRY6scN"
10,2020-01-01 14:47:01+00:00,SenJohnBarrasso,True,1212384739266568194,36,,20,4,Twitter for iPhone,en,,,Bobbi and I wish you all a Happy New Year! https://t.co/WHLMujZALA
11,2020-01-01 17:55:52+00:00,SenatorWicker,True,1212432264593903616,50,,7,9,Twitter for iPhone,en,,,"Our favorite moment from today’s Rose Parade was seeing the West Harrison High School Band, Gulfport, Mississippi, with a great story: https://t.co/bMRMeLZjxG"
12,2020-01-01 17:00:14+00:00,SenatorWicker,True,1212418263046590466,24,,5,2,Twitter for iPhone,en,,,Happy New Year! 🎊 https://t.co/Zl9LxdfNTl
13,2020-01-01 13:36:02+00:00,SenatorCollins,True,1212366876694786048,722,,1148,39,Twitter for iPhone,en,,,"Happy New Year! May the spirit of this holiday season be with you, your family, and your community throughout the coming year."
14,2020-01-01 17:38:37+00:00,JohnCornyn,True,1212427925531824128,281,,169,65,Twitter Web App,en,,,"""No cause is left but the most ancient of all,
the one, in fact, that from the beginning of our history
has determined the very existence of politics,
the cause of freedom versus tyranny.""
-- Hannah Arendt (1906-1975) German-American political theorist, escaped Nazi Germany."
15,2020-01-01 17:19:54+00:00,JohnCornyn,True,1212423213411684353,136,,69,44,Twitter Web Client,en,,,Energy dominance is leverage for US foreign relations https://t.co/1wkuBvcFQT
16,2020-01-01 02:25:05+00:00,JohnCornyn,True,1212198024556040193,221,,62,35,Twitter for iPhone,en,,,Happy New Year https://t.co/AsbqIFNpOT
17,2020-01-01 18:37:47+00:00,SenatorDurbin,True,1212442813666938880,361,,58,45,Twitter for iPhone,en,,,Wishing a Happy New Year to all. May your 2020 be filled with peace and joy. https://t.co/dbhh75WoD1
18,2020-01-01 21:48:12+00:00,McConnellPress,True,1212490733053194242,25,,9,5,Twitter for iPhone,en,,,".@senatemajldr Mitch McConnell’s statement on the loss of Larry Kizer, a dedicated and public servant: https://t.co/ctrAajjSC4"
19,2020-01-01 20:17:16+00:00,SenJeffMerkley,True,1212467851346546691,184,,8,7,Twitter for iPhone,en,,,Go Ducks! Having a great time at the pre-game with son Jonathan! #RoseBowl @GoDucks @uoregon https://t.co/F0AmTm2G1c
20,2020-01-01 15:27:09+00:00,SenatorRisch,True,1212394838118871040,32,,12,6,Twitter for iPhone,en,,,Happy New Year! https://t.co/ZgDWEcBuz7
21,2020-01-01 05:05:58+00:00,ChrisCoons,True,1212238512491249664,98,,12,9,Twitter for iPhone,en,,,Happy New Year! https://t.co/P1oI9u3uLw
22,2020-01-01 12:33:00+00:00,Sen_JoeManchin,True,1212351011622404096,86,,19,7,TweetDeck,en,,,Happy #NewYear! Wishing all West Virginians a happy and healthy 2020. https://t.co/EOjUiX6alu
23,2020-01-01 20:35:03+00:00,SenatorBaldwin,True,1212472324009672709,68,,1,9,Twitter for iPhone,en,,https://twitter.com/BadgerFootball/status/1211799124955107328,Good luck to @BadgerFootball in the Rose Bowl today! #OnWisconsin
24,2020-01-01 18:18:59+00:00,SenatorBaldwin,True,1212438082261323776,99,,6,12,Twitter for iPhone,en,,,"Happy New Year, Wisconsin! https://t.co/5VphiG7OD0"
25,2020-01-01 14:05:48+00:00,SenatorBennet,True,1212374365456805888,283,,19,11,Twitter for iPhone,en,,,Wishing everyone a happy and healthy New Year!
26,2020-01-01 23:36:02+00:00,MarshaBlackburn,True,1212517870405599232,535,,136,268,Twitter for iPhone,en,,https://twitter.com/washingtonpost/status/1212130369362894850,.@tiktok_us is a threat to our national security and I’m glad @DeptofDefense has ordered all personnel to remove the app. TikTok provides the Chinese government with information on its users &amp; the company couldn’t even muster the courage to meet with lawmakers. #TikTokTraditions
27,2020-01-01 13:22:00+00:00,MarshaBlackburn,True,1212363342888587267,241,,36,26,Twitter Media Studio,en,,,Wishing all Tennesseans a safe and healthy new year! https://t.co/o25MoKgoSx
28,2020-01-01 20:49:50+00:00,SenBlumenthal,True,1212476046810996738,104,,19,22,Twitter for iPhone,en,,,Necessary now: Ban all flavors in all products &amp; new devices enabling surreptitious use &amp; more.
29,2020-01-01 20:49:50+00:00,SenBlumenthal,True,1212476044957097986,173,,50,67,Twitter for iPhone,en,,,Trump’s step back from stringent restrictions will spread not stem the vaping epidemic. This surrender to vaping special interests on menthol &amp; liquid tank flavors signals an open door to nicotine addiction—hooking a new generation. https://t.co/k1xBdxgo4d
30,2020-01-01 18:05:13+00:00,SenBlumenthal,True,1212434618009489408,169,,31,58,Twitter for iPhone,en,,,Asylum &amp; Freedom—a truly American new year celebration for Mario Aguilar &amp; all statewide who stood with him. Special thanks to his loyal fellow Wilber Cross HS students—&amp; the American judiciary. Feds should abandon any appeal. https://t.co/zleo2sLXhQ
31,2020-01-01 05:01:52+00:00,SenBlumenthal,True,1212237481791414273,702,,42,34,Twitter for iPhone,en,,,"A happy, healthy 2020! As we begin this new year, I’m more proud &amp; grateful than ever to serve CT’s great people &amp; fight for a better, brighter future."
32,2020-01-01 06:00:00+00:00,JohnBoozman,True,1212252112165449728,15,,9,3,Twitter Media Studio,en,,,"It's a new year and also the beginning of a new decade, so we've got a lot to be thankful for and look forward to. I hope your 2020 starts and ends with lots of gratitude, optimism and blessings. #HappyNewYear https://t.co/Gh30UaozU6"
33,2020-01-01 22:10:38+00:00,michaelcburgess,True,1212496377571430402,19,,8,3,Twitter Web App,en,,,"As we come into the #NewYear, I hope you have one filled with joy and peace. https://t.co/C3x9rl2WnE"
