year_month,file_size,time_check,type
2013-01,NA,2023-03-05T05:45:48Z,green
2013-02,NA,2023-03-05T05:45:48Z,green
2013-03,NA,2023-03-05T05:45:48Z,green
2013-04,NA,2023-03-05T05:45:48Z,green
2013-05,NA,2023-03-05T05:45:48Z,green
2013-06,NA,2023-03-05T05:45:48Z,green
2013-07,NA,2023-03-05T05:45:48Z,green
2013-08,NA,2023-03-05T05:45:48Z,green
2013-09,NA,2023-03-05T05:45:48Z,green
2013-10,NA,2023-03-05T05:45:49Z,green
2013-11,NA,2023-03-05T05:45:49Z,green
2013-12,NA,2023-03-05T05:45:49Z,green
2014-01,12.413055,2023-03-05T05:45:49Z,green
2014-02,15.237965,2023-03-05T05:45:50Z,green
2014-03,19.44243,2023-03-05T05:45:51Z,green
2014-04,19.562923,2023-03-05T05:45:52Z,green
2014-05,21.288553,2023-03-05T05:45:53Z,green
2014-06,20.196905,2023-03-05T05:45:54Z,green
2014-07,19.21731,2023-03-05T05:45:55Z,green
2014-08,20.277636,2023-03-05T05:45:56Z,green
2014-09,20.555101,2023-03-05T05:45:57Z,green
2014-10,22.251828,2023-03-05T05:45:58Z,green
2014-11,23.099402,2023-03-05T05:45:59Z,green
2014-12,24.413577,2023-03-05T05:46:01Z,green
2015-01,22.732044,2023-03-05T05:46:02Z,green
2015-02,23.596236,2023-03-05T05:46:03Z,green
2015-03,25.895603,2023-03-05T05:46:04Z,green
2015-04,25.043726,2023-03-05T05:46:06Z,green
2015-05,26.706231,2023-03-05T05:46:07Z,green
2015-06,24.706467,2023-03-05T05:46:09Z,green
2015-07,23.3943,2023-03-05T05:46:10Z,green
2015-08,23.292101,2023-03-05T05:46:11Z,green
2015-09,22.720762,2023-03-05T05:46:12Z,green
2015-10,24.605888,2023-03-05T05:46:14Z,green
2015-11,23.209037,2023-03-05T05:46:15Z,green
2015-12,24.334716,2023-03-05T05:46:16Z,green
2016-01,22.088171,2023-03-05T05:46:18Z,green
2016-02,22.771978,2023-03-05T05:46:19Z,green
2016-03,23.783208,2023-03-05T05:46:20Z,green
2016-04,23.357449,2023-03-05T05:46:21Z,green
2016-05,23.493391,2023-03-05T05:46:23Z,green
2016-06,21.485727,2023-03-05T05:46:24Z,green
2016-07,20.529044,2023-03-05T05:46:25Z,green
2016-08,19.290983,2023-03-05T05:46:26Z,green
2016-09,18.039876,2023-03-05T05:46:27Z,green
2016-10,19.277013,2023-03-05T05:46:28Z,green
2016-11,17.783235,2023-03-05T05:46:29Z,green
2016-12,18.755368,2023-03-05T05:46:30Z,green
2017-01,16.620837,2023-03-05T05:46:31Z,green
2017-02,15.850278,2023-03-05T05:46:32Z,green
2017-03,17.764883,2023-03-05T05:46:33Z,green
2017-04,16.746272,2023-03-05T05:46:34Z,green
2017-05,16.504018,2023-03-05T05:46:35Z,green
2017-06,15.295902,2023-03-05T05:46:36Z,green
2017-07,14.450872,2023-03-05T05:46:37Z,green
2017-08,13.7625,2023-03-05T05:46:38Z,green
2017-09,14.021569,2023-03-05T05:46:38Z,green
2017-10,14.605863,2023-03-05T05:46:39Z,green
