year,month,rides,passengers,distance,cost,YM,rides_z,cost_z
2009,1,14092413,23958647,36045235.873,144635499.10999995,2009-01-01,0.8613576827045115,-0.05762687126697356
2009,2,13380122,22534692,34919607.619,139899398.51999998,2009-02-01,0.7068888786613902,-0.14043678198801043
2009,3,14387371,24172608,38877300.87,154622337.53999996,2009-03-01,0.9253228451212078,0.11699129468159326
2009,4,14294783,24137048,38415995.99,153226139.63999996,2009-04-01,0.9052440323484161,0.09257901262575537
2009,5,14796313,25098253,40612532.17,160468128.67999992,2009-05-01,1.0140067982569376,0.21920395532891018
2009,6,14184249,23867354,38643093.53,154151357.07999995,2009-06-01,0.881273415302711,0.1087562816993302
2009,7,13626103,23128032,37517653.38,148354418.15999997,2009-07-01,0.7602327941219689,0.007397793783323859
2009,8,13686520,23383293,38185952.080000006,149361433.80999997,2009-08-01,0.7733349416064565,0.025005290601964672
2009,9,13984887,23471018,38752986.64,155550456.23000005,2009-09-01,0.838039386357175,0.13321929161639515
2009,10,15604551,26202049,42381672.370000005,172197906.94000012,2009-10-01,1.189282854310158,0.4242971268166765
2009,11,14275339,24111957,39208784.29,165876557.2300001,2009-11-01,0.901027368897924,0.31376940571488376
2009,12,14583404,24924748,39253637.080000006,169563434.51000014,2009-12-01,0.9678349406874653,0.37823382588384463
2010,1,14863778,25040798,39065974.48,164420386.79000008,2010-01-01,1.0286373886543583,0.2883085140299342
2010,2,11145409,18255171,216050426.45,101384496.2399999,2010-02-01,0.22226469488030104,-0.8138632767652854
2010,3,12884362,21101709,372299513.28000003,101460901.93999994,2010-03-01,0.5993774061137688,-0.8125273361374742
2010,4,15144990,25341382,41601192.690000005,176443353.5400002,2010-04-01,1.089621566922193,0.4985280362401899
2010,5,15481351,26002858,43674309.230000004,184246895.60000026,2010-05-01,1.162565464004633,0.6349716376833056
2010,6,14825128,24795228,41581394.44,176880740.5000002,2010-06-01,1.020255674893737,0.5061756726068294
2010,7,14656519,24695794,40910049.47,173227299.14000016,2010-07-01,0.9836908010136702,0.44229587379407886
2010,8,12528177,21653031,35525170.95,149189854.13000003,2010-08-01,0.5221344380458033,0.022005249172874202
2010,9,15540209,25533166,43946446.57,187687820.5500003,2010-09-01,1.17532952373355,0.6951356233277265
2010,10,14199607,23725019,39849559.2,170695530.81000018,2010-10-01,0.8846039808896611,0.3980283365259043
2010,11,13912310,23407843,38858310.93,166636591.17000017,2010-11-01,0.8223001977516224,0.3270584694753228
2010,12,13819313,23390453,37751719.21000001,166064530.79000014,2010-12-01,0.8021326884477029,0.31705609133857704
2011,1,13408926,22088118,35620708.38,155440210.57000008,2011-01-01,0.7131353698169124,0.13129166506191373
2011,2,14177754,23141192,36980178.63,165984851.20000014,2011-02-01,0.8798648970394449,0.3156629073027225
2011,3,16040586,26050448,43403480.7,192000445.53000018,2011-03-01,1.2838422478318259,0.7705411352632542
2011,4,14691491,23815540,40250949.06000001,176929801.70000017,2011-04-01,0.991274896579943,0.5070334993177826
2011,5,15449541,25319739,43957408.7,191244219.4100002,2011-05-01,1.1556670858746108,0.7573186505858089
2011,6,15068400,24685551,42821145.67,186724787.5200002,2011-06-01,1.073012111374302,0.6782971551152682
2011,7,14679280,24485820,41687322.06,179127491.12000015,2011-07-01,0.9886267955002291,0.5454597238466766
2011,8,13236597,21722798,37881850.800000004,162952498.1300002,2011-08-01,0.6757637695412567,0.2626427312677034
2011,9,14585591,24232284,42115877.75000001,184962076.3600002,2011-09-01,0.9683092177377753,0.6474764512444968
2011,10,15603822,26106213,44372809.67,194010412.94000024,2011-10-01,1.1891247619600545,0.805685072477286
2011,11,14477101,24220405,41540564.760000005,181254699.07000023,2011-11-01,0.9447818664857754,0.5826535918984924
2011,12,14885375,25322637,42424919.510000005,184384779.60000023,2011-12-01,1.033320955849394,0.6373825158969072
2012,1,12996716,21088393,35780036.440000005,153428664.33000013,2012-01-01,0.6237427118798964,0.0961201222747209
2012,2,13330768,21719989,36709885.510000005,159480954.53000018,2012-02-01,0.6961858747560422,0.2019433837523267
2012,3,16109340,26804109,45873419.78,198262085.5700001,2012-03-01,1.2987523732625568,0.8800248429730322
2012,4,13324512,21526110,38152227.97,165165605.66000018,2012-04-01,0.6948291864950734,0.3013385388192388
2012,5,13943243,22908538,40402342.34,176859836.0500002,2012-05-01,0.8290083879652653,0.5058101618653917
2012,6,15038603,25438574,43720296.46,190696213.16000012,2012-06-01,1.066550276318022,0.7477368548078865
2012,7,14285382,24334761,41384646.84,178138716.52000016,2012-07-01,0.9032053133040798,0.5281711686749148
2012,8,14345541,24409889,42339697.400000006,181145490.00000018,2012-08-01,0.9162515104095186,0.5807440899432919
2012,9,14464200,24628259,42828836.480000004,212596238.65000048,2012-09-01,0.9419841306713957,1.1306550638181754
2012,10,14498991,24594762,42450073.31,215009924.6600005,2012-10-01,0.9495289742275607,1.1728579518688953
2012,11,13741684,23356441,39412550.190000005,199619504.5900005,2012-11-01,0.7852979133500765,0.9037590829287065
2012,12,14585614,25148283,41600008.18,212687458.51000056,2012-12-01,0.9683142055622641,1.1322500275059275
2013,1,14643066,24829800,40513533.56,204130242.1500004,2013-01-01,0.980773357411558,0.9826285595226613
2013,2,13937207,23653181,38178536.160000004,195527568.66000038,2013-02-01,0.8276994093298421,0.8322122813774507
2013,3,15692883,26868143,44561897.239999995,225848755.3300004,2013-03-01,1.2084387026905767,1.3623730567630532
2013,4,14632676,25013574,41870778.58,214864000.5600004,2013-04-01,0.9785201619142009,1.1703064938786296
2013,5,15253777,26156052,44437944.17000001,229560419.39000046,2013-05-01,1.1132133261686794,1.427270869551081
2013,6,14293653,24606841,41999034.230000004,215260493.08000043,2013-06-01,0.9049989783626593,1.1772390979394658
