"Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
25465061.3693375,-6908255.71315816,57838378.4518332,-24045654.5844316,74975777.3231067
27790129.2281148,-8869640.43667604,64449898.8929057,-28276150.2383617,83856408.6945914
28989606.8707096,-8981809.29311021,66961023.0345294,-29082662.8092409,87061876.5506602
29622857.9289512,-8846318.18479418,68092034.0426965,-29210669.9016895,88456385.7595918
29960872.2409373,-8738306.27717341,68660050.7590479,-29224413.9122194,89146158.3940939
30142219.9667766,-8686740.33210354,68971180.2656567,-29241550.2918943,89525990.2254475
30239742.9832465,-8677124.10385462,69156610.0703477,-29278469.1063597,89757955.0728527
30292243.8965209,-8693387.1451636,69277874.9382054,-29331133.58638,89915621.3794218
30320521.2143028,-8724523.42920377,69365565.8578093,-29393721.5313732,90034763.9599788
30335754.9292578,-8763925.13621316,69435434.9947288,-29462045.4837095,90133555.3422251
30343962.5484632,-8807834.54331599,69495759.6402424,-29533543.9780088,90221469.0749352
30348384.8511358,-8854169.07890947,69550938.7811811,-29606747.5607436,90303517.2630152
30350767.6575873,-8901789.53831065,69603324.8534853,-29680838.1501472,90382373.4653219
30352051.5634419,-8950077.02270165,69654180.1495854,-29755367.1434042,90459470.270288
30352743.3616902,-8998696.55763006,69704183.2810104,-29830090.5213021,90535577.2446825
30353116.1193573,-9047467.23700217,69753699.4757169,-29904876.1647973,90611108.403512
30353316.9704033,-9096291.50932075,69802925.4501274,-29979652.7697629,90686286.7105696
30353425.1939558,-9145116.84776507,69851967.2356766,-30054381.971194,90761232.3591055
30353483.5075154,-9193915.02485148,69900882.0398824,-30129043.2121585,90836010.2271894
30353514.928324,-9242670.92084695,69949700.777495,-30203625.5536121,90910655.4102602
30353531.8586444,-9291376.48465908,69998440.2019479,-30278123.2478329,90985186.9651217
30353540.9811262,-9340027.47631356,70047109.4385659,-30352533.3479207,91059615.3101731
30353545.8965485,-9388621.71019892,70095713.5032958,-30426854.4174086,91133946.2105055
30353548.5451015,-9437158.10777223,70144255.1979751,-30501085.8338821,91208182.9240851
30353549.9722083,-9485636.18678403,70192736.1312007,-30575227.413218,91282327.3576347
30353550.7411694,-9534055.78588356,70241157.2682223,-30649279.2068447,91356380.6891835
30353551.1555049,-9582416.91613933,70289519.2271491,-30723241.392364,91430343.7033738
30353551.3787593,-9630719.68098949,70337822.4385081,-30797114.214546,91504216.9720646
30353551.4990544,-9678964.23308728,70386067.231196,-30870897.9535026,91578000.9516114
30353551.5638724,-9727150.75103896,70434253.8787837,-30944592.9075242,91651696.0352689
30353551.5987979,-9775279.42686684,70482382.6244627,-31018199.3838271,91725302.5814229
30353551.6176167,-9823350.45925467,70530453.6944881,-31091717.6935695,91798820.928803
30353551.6277567,-9871364.04991084,70578467.3054243,-31165148.1491702,91872251.4046837
30353551.6332204,-9919320.40161215,70626423.668053,-31238491.0628681,91945594.329309
30353551.6361644,-9967219.71715385,70674322.9894827,-31311746.7459535,92018850.0182823
30353551.6377507,-10015062.1987882,70722165.4742896,-31384915.5083595,92092018.7838609
30353551.6386054,-10062848.0479262,70769951.3251371,-31457997.6584494,92165100.9356603
30353551.639066,-10110577.4649816,70817680.7431136,-31530993.502908,92238096.78104
30353551.6393141,-10158250.6492909,70865353.9279192,-31603903.3466904,92311006.6253187
30353551.6394479,-10205867.799075,70912971.0779707,-31676727.4930011,92383830.7718968
30353551.6395199,-10253429.1114226,70960532.3904624,-31749466.2432893,92456569.5223291
30353551.6395587,-10300934.7822856,71008038.0614031,-31822119.8972527,92529223.1763702
30353551.6395796,-10348385.0064815,71055488.2856408,-31894688.7528469,92601792.0320062
30353551.6395909,-10395779.9776979,71102883.2568797,-31967173.1062958,92674276.3854777
30353551.639597,-10443119.8884999,71150223.1676939,-32039573.252105,92746676.531299
30353551.6396003,-10490404.9303382,71197508.2095387,-32111889.4830741,92818992.7622746
30353551.639602,-10537635.2935571,71244738.5727611,-32184122.0903104,92891225.3695144
30353551.639603,-10584811.1674034,71291914.4466094,-32256271.3632422,92963374.6424482
30353551.6396035,-10631932.7400351,71339036.0192421,-32328337.5896325,93035440.8688394
30353551.6396038,-10679000.1985297,71386103.4777372,-32400321.0555917,93107424.3347992
30353551.6396039,-10726013.728893,71433117.0081008,-32472222.0455914,93179325.3247992
30353551.639604,-10772973.5160679,71480076.7952759,-32544040.8424772,93251144.1216851
30353551.639604,-10819879.7439425,71526983.0231505,-32615777.7274817,93322881.0066898
30353551.6396041,-10866732.5953586,71573835.8745667,-32687432.9802375,93394536.2594456
