,job_title,job_url,job_country,job_company,job_location,job_workplace,job_industry,job_experience,job_salary,job_published,job_roles,job_requirements
0,Senior Data Analyst,https://www.dataanalyst.com//job/senior-data-analyst-7b,United States,East West Bank,"Pasadena, CA",In-office,Financial,['5 - 10 '],-90000----110000,"Mar 16, 2023",     The Data Analyst works closely with business partners and the Business Intelligence Team to turn data into critical information and knowledge that can be used to make sound business decisions. This individual must be able to analyze large amounts of raw and structured information to find patterns that will help our company. We will rely on you to build data products to extract valuable business insights.       In this role  you should be highly analytical with a knack for analysis  math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We also want to see a passion for machine-learning and research.       Responsibilities           Responsible for complex data mining efforts to discover patterns in large sets of data.          Work closely with business partners and conduct analyses to translate data into actionable analytical solutions and promote information-based decision-making recommendations.          Conduct POC  design and create an information foundation with the purpose of developing analytical solutions and predictive modeling.          Incorporate machine learning  statistical modeling  visualization and analytics tools and data sources into the development of processes and techniques to use data effectively and efficiently.          Communicate results and ideas to key decision makers using data visualization techniques          Coordinate and conduct the tuning and optimization of the various financial AML models based on the methodology established. Make recommendations to improve financial monitoring through the development of new risk models  statistical analysis of model thresholds  and other sensitivity and productivity analyses.          Generate  monitor and update machine learning models used to identify suspicious activity or enhance productivity. Work with AML teams to identify new models to assist in the identification of suspicious behavior or to enhance productivity.          Use advanced statistical methods like clustering and regression analysis to ensure appropriate rigor around optimization processes.          Conceptualize and develop new rules models scenarios  in coordination with AML subject matter experts  to address emerging trends and red flags.          Ensure sound risk coverage  adequate quantitative model assessment and validation  and data quality completeness and integrity.          Develop data-driven insights and communicate these effectively to management and diverse stakeholders  including management and regulators  using visualization techniques to showcase the results of analysis in concise presentations.          Support the AML Group s periodic risk assessments through the analysis of data elements related to potential indicators of customer  product  or geographic risk  evaluating and enhancing the Group s risk rating methodologies  and identifying new quantitative factors that can be incorporated into the risk assessment process.          Support Model Risk Management s model validation efforts to ensure models are performing as intended.          Keep up-to-date with latest technology trends       ,     Qualifications           Proven experience as a Data Analyst          5+ years hands on experience in Machine Learning or advance analytics          MS in Computer Science   Statistics   Operations Research   Business Analytics or equivalent combination of skills  experience and education          Banking product experience          Analytical mind and business acumen          Experience using business intelligence tools  e.g. Power BI  and data frameworks  e.g. Hadoop           Able to understand various data structures and common methods in data transformation          Creative problem solver who thrives when presented with a challenge          Excellent pattern recognition and predictive modeling skills          Experience with programming languages such as Python  R  .NET C#          Excellent attention to detail          Able to multitask  prioritize  and manage time effectively          Excellent communication  presentation  interpersonal and organizational skills          Desired          Experience with DevOps  Continuous Integration and Continuous Delivery  Maven  Jenkins  Stash  Ansible  Docker  is a plus          Azure Databricks  Machine Learning Studio and ONNX          Software language - C#  Power Shell          Experience working in Agile development environment       
1, Data Analyst,https://www.dataanalyst.com//job/data-analyst-579,United States,ECPI University,"Virginia Beach, VA",In-office,Education,['0 - 3 '],-60000----70000,"Mar 16, 2023",     ECPI University is seeking a Data Analyst to join our team in Virginia Beach  VA. The ideal candidate will have a passion for data analysis and the ability to work collaboratively with other members of the organization.           Collect and analyze data from multiple sources  ensuring data integrity and accuracy          Establish and monitor KPI s  as well as identify trends and insights to inform decision-making          Develop and maintain dashboards  reports  and data visualizations for various departments          Collaborate with other departments to develop and implement data-driven solutions          Maintain and develop data quality control standards across different platforms          Stay up-to-date with industry trends and best practices in data analysis       ,         Bachelor s degree in quantitative field such as Statistics  Data Science  Economics  or related field          2+ years of experience in data analysis          Strong analytical and problem-solving skills          Knowledge of database systems  to include data management and warehousing          Proficiency in Excel  SQL  and data visualization tools such as Tableau or Power BI          Excellent communication and collaboration skills       
2,Senior Data Analyst,https://www.dataanalyst.com//job/senior-data-analyst-1c9,United States,Envoy,"San Francisco, CA",Hybrid,Other,['5 - 10 '],-127000----149000,"Mar 16, 2023",     We are a top-notch data organization with a great culture and have the same high standards with our code  systems  practices  and people. We value learning and growth and hire diverse  well-rounded  communicative people.       We are looking for a talented and driven technical leader to accelerate our efforts and be a major part of our data-centric culture. This person will work closely with various cross-functional teams such as product  marketing  sales  and engineering to develop and deliver metrics  analyses  solutions  and insights  with actionable recommendations to business partners. Successful candidates will exhibit technical acumen  product sense and business savvy  with a passion for making an impact through creative storytelling and timely actions. Our main technology stack currently includes Redshift  Spark  AWS Glue  dbt  Airflow  Looker  and Jupyter Notebooks. If you re looking to challenge the status quo and build the Office OS  come join us.       This is not a remote position.       The ideal candidate will need to be onsite &amp  able to participate in hybrid work.       You will           Partner with cross-functional teams to initiate  lead and drive to completion strategic projects with product and business teams across the organization          Develop deep-dive analyses and predictive models to drive product insights and business decisions          Exploratory research on user data to determine the future of the product roadmap          Drive org-wide impact by shaping product and business strategy through data-centric presentations          Design and analyze experiments to test new product ideas or go-to-market strategies          Convert analysis results into actionable recommendations. Independently craft compelling stories  make logical recommendations  drive informed actions          Mentor junior members of the team       ,     You are           Someone with extremely high standards that obsesses over data accuracy. You re practical and know perfect is the enemy of good  but you aspire for us to be great. You care deeply about the quality of your work and our data. You are passionate about finding the insights and  truth  that data can give.          A big picture  systems thinker. You think about how the whole is a sum of many parts and how we can properly measure them end to end such that we have the per context for insights.          An owner. You feel personally accountable and responsible and know seeing the problem is less than half of it. You look for problems and inefficiencies and find elegant solutions to them before they become major issues.          Fast-paced. You love the speed of and impact you have in startups. Conversely you never  ever want to be a tiny cog in a gigantic machine.          An open-minded learner. You live to learn new things  like staying up to date on new technologies  tools  and techniques. You are inspired by what people inside and outside Envoy know and are eager to incorporate the world s knowledge into your work.          Emotionally mature &amp  humble. You care about being effective over being right. Ideally you ve made major changes &amp  decisions in your life and learned from the results.          Communicative &amp  empathetic. You are happy when helping others succeed  particularly your team and partners across the company.          You have           A degree in a quantitative discipline  statistics  operations research  computer science  informatics  engineering  applied mathematics  economics  etc.          5+ years of relevant work experience          Mastery of SQL          Experience with Python and key data processing and visualization libraries  pandas  scikit-learn  seaborn  etc.           Experience in applied statistics and statistical modeling          Experience influencing strategy through data-centric presentations          Working knowledge of Unix command-line shell and git          Experience telling stories with data and visualization tools  as well as custom data visualizations  D3  React  etc.           Excellent communication skills  with the ability to synthesize  simplify and explain complex problems to different types of audience  including executives and compile compelling narratives.          Experience running platform experiments and techniques like A B testing          Bonus points           You have experience working in a fast paced startup environment          You excel at working with minimal direction and high expectations          Proven record of writing and optimizing code with high levels of craftsmanship  and coaching others to improve technical outputs       
3, Data Analyst,https://www.dataanalyst.com//job/data-analyst-da4,United States,Country,"Lenexa, KS",Hybrid,Manufacturing,['0 - 3 '],-51100----70228,"Mar 16, 2023",     The Data Analyst I provides standard operational support directly for the customer. This includes standard database operations and predictive data analysis. Responsible for monitoring the daily processes of the database function  deliver and troubleshoot database operations and meter level data management. Coordinates with other Data Analysts and the Service Desk for escalation of issues as necessary.       Key Responsibilities           Provides operational data support for internal and external customers.          Writes SQL queries to analyze data and generate  monitor  and maintain informational reports.          Supports meter level monitoring  provides meter data analysis and troubleshoots issues on a daily basis.          Monitors performance metrics  stales  read performance  billing  etc.  for issues and troubleshoots as necessary.          Is familiar with and supports at least 1 Company product  1-way RF  DHES  etc. .          Works closely with Radio Frequency  RF  Technicians to maintain high network performance and meets customer service level agreements  SLAs .          Assists with inventory management and database updates for equipment changes  meters  modules  collectors  concentrators .          Proactively analyzes meters and reads data to identify issues and resolve  minimizing customer impact.          Provides reports and exception handling for customer billing.          Escalates issues as necessary to other Data Analysts and Service Desk.          Assists in data discrepancy trouble shooting and resolution.          Makes recommendations for standard metrics  reporting  and service improvement.          Communicates issues and potential resolutions to management as necessary.          Minimal support required after business hours.          Works independently 75  of the time.          Maintains individual professional development plan with associated goals.          Supports and adheres to Company s core values.          Performs other duties or responsibilities as assigned or required.          Supports and adheres to the Company s Code of Conduct &amp  Ethics Policy.          Represents Company in a positive  professional manner when working with both internal and external customers.       ,     Education And Experience           Bachelor s Degree          Required years of experience  1+ to 2          Desired Education and Experience            1-3 years of related experience is preferred  data analysis  ad-hoc queries  and customer support .          Windows server experience is required  UNIX experience is preferred.          Bachelors in Management Information Systems  MIS  or Computer Information Systems  CIS  is preferred.          Experience with scripting is beneficial.          Experience communicating  verbal and written  with a variety of audiences  customers &amp  peers .          Knowledge  Skills  And Abilities           Personal computer skills          Proficiency with Microsoft Office Suite          Keyboard typing skills          Ability to communicate both verbally and in writing.          Write and execute SQL and Oracle queries.          Data analysis          Problem solving  technical troubleshooting  and analytical abilities.          Self-motivated       
4,Senior Data Analyst,https://www.dataanalyst.com//job/senior-data-analyst-db,United States,UNFI,Remote,Remote,Retail,['5 - 10 '],-70800----132400,"Mar 16, 2023",     UNFI is looking for a Senior Data Analyst to join their team. The Senior Data Analyst will drive improvement through independent  cross-functional work in Procurement by leveraging highly complex analysis in a variety of related fields. The incumbent will utilize data  IT processes and functional business acumen to create and drive the testing  training  implementation  and support of system enhancements. Additional objectives will include project support  report building  distribution and maintenance as well as supporting business users.       What Do Senior Data Analysts Do           Leads  organizes  and delivers business projects focused on process and system improvements by leveraging data analysis  business intelligence  queries and technology.          Collects  queries  and maintains data and reporting surrounding procurement procedures.          Acts as an internal consultant to conceptualize  develop and present recommendations to management up to executive level.          Identifies  evaluates  and measures department inefficiencies to provide recommendations to key stakeholders.          Works collaboratively across departments to assess  develop and implement change.          Supports and drives systems requirements  definition  testing  training  implementation  and support.          Conducts and analyzes preliminary business and information technology processes and prepares groundwork.       ,     Education  Certifications   Required &amp  Preferred            Bachelor s Degree in Business Administration  Supply Chain  Mathematics  Computer Science degree or another related field required          5+ years previous analyst experience required          Supply chain or procurement experience a plus System implementation preferred          Lean Six Sigma certification or Project Management certification preferred          Data collection  building reports and distribution          Alteryx or Microsoft Report Builder experience preferred          SQL required          Strong Microsoft Office Suite Skills  Excel  Word  Outlook  Access           Your Professional DNA           Strong written  verbal  and interpersonal communication skills          Must possess strong analytical skills and sound business judgment          Excellent problem-solving skills          Ability to organize  coordinate  and direct projects       
5,Financial Data Analyst,https://www.dataanalyst.com//job/financial-data-analyst,United States,Verkada,"San Mateo, CA",In-office,Tech,['3 - 5 '],-70000----160000,"Mar 16, 2023",     We are looking for a world-class data analyst to join the Strategic Finance team. The Strategic Finance team is a world-class team that supports teams across Verkada with cutting-edge analysis and insights. This candidate will drive the development of the data infrastructure needed to support the Strategic Finance team. The infrastructure will encompass data pipelines  metrics automation  automated reports  forecasting and critical analysis that will magnify the impact of the Strategic Finance team. We are looking for someone with an entrepreneurial mindset who is highly motivated by the prospect of building and scaling. This is a great opportunity for someone with a technical background but wants to be close to finance and learn more about the business.       Responsibilities           Own the design  development and maintenance of weekly   monthly key performance metrics reporting  analyze data and synthesize potential opportunities for optimization          Orchestrate best-in-class data visualization and presentations that convey actionable insights to business stakeholders          Partner with system engineers to drive efficiencies - including ensuring data integrity  accuracy  scalability - and adopt best practices to improve infrastructure and governance          Conduct ad hoc analysis in support of business initiatives such as sales productivity  new product economics and international expansion          Drive cross-functional decision making  translating strategic challenges into tactical problem statements and data-driven solutions  facilitate data democratization throughout the organization  enable others to self-serve source of truth data as needed          Contribute to data analytics projects end-to-end  from translating business problems into data questions  source structure data  perform modeling analysis  to delivering business insights.       ,     Requirements           Bachelor s degree in a quantitative discipline  Math  Statistics  Operations Research  Economics  Information Systems  Engineering  or CS           3+ years of experience working with SQL and relational data  preferably in MPP databases  such as Snowflake  Redshift  BigQuery           Experience with Looker and Salesforce is a must          Track record of using advanced SQL skills to build dashboard   visualization and derive insights from large datasets          Experience developing reporting and dashboards with modern BI tools  such as Tableau  ThoughtSpot  Snowsight  or similar tools          Excellent communication skills to summarize insights and recommendations to audiences of varying levels of technical sophistication          Experience using Python and or similar object oriented programming languages          Preferred  Experience with ERP and Financial Planning tools       
6,"Senior Data Analyst, Healthcare",https://www.dataanalyst.com//job/senior-data-analyst-healthcare,United States,Milliman,"Atlanta, NY",In-office,Healthcare,['3 - 5 '],-80000----125000,"Mar 16, 2023",     We are looking for a senior analyst with strong critical thinking and technical skills to contribute to a variety of projects. This role is the ideal opportunity for someone with a desire to improve their technical and data literacy skills while gaining valuable experience in the field of healthcare.       Senior Analysts have the opportunity to develop their skills on a diverse set of projects  a sample of which include            Bundled Payment Reporting Interfaces  Interactive data visualization tools that allow providers who are participating in CMS bundled payment models to understand the costs and utilization of participating episodes of care.  More information here          http   www.milliman.com Solutions Products Bundled-Payment-Reporting-Interface #                   Healthcare cost and utilization analysis  Analysis of Milliman s vast administrative claims databases to help clients understand the cost and utilization associated with various patient populations. We frequently publish these analyses in white papers and peer-reviewed publications.          Health outcomes modeling  Interactive Excel-based models that allow clients to understand how changes in treatment procedures or health behaviors affect cost and utilization outcomes.          Primary Roles       Serve as project manager and or subject matter expert on the following types of projects            Coding of patient identification algorithms and cost and utilization outcomes  e.g. readmission measures  quality measures . Produce code that is logically organized and well-documented          Applying innovative techniques to large claims datasets to analyze a wide array of healthcare-related topics          Creating and executing claims processing procedures that are organized and time- and resource-efficient          Deriving insights from data and articulating these insights to team members verbally and or through exhibits          Creating and preparing error-free exhibits and reports summarizing findings for client delivery          Working in collaboration with analysts  consultants  and actuaries to produce deliverables for clients in a timely manner       ,     Qualifications       Required            Bachelor s or Master s degree  preferably in a quantitative  e.g. math  statistics  or healthcare-related field  e.g. Masters in Public Health           At least three years of experience analyzing medical insurance claims with SAS  SQL  R  or Python          Experience using Microsoft Excel to build models          Understanding of medical coding systems  CPT  ICD-10  DRG  etc.           Experience or knowledge of the healthcare industry and payer systems          Exceptional problem solving and analytical skills  with a knack for finding and investigating trends and patterns in data          Strong attention to detail and the ability to be precise and clear when describing results of data analyses          Strong oral and written communication skills          Strong organizational skills and ability to prioritize tasks with little supervision          Ability to work on and organize concurrent projects          Ability to work both independently and as part of a team          Preferred           Experience conducting analyses using MarketScan and or Medicare  or similar  databases          Experience with or interest using data visualization and business intelligence tools  e.g. Power BI  Tableau  or Qlikview           Advanced skills in SAS  macros  PROC SQL           At least partial in-office work at either of our two locations          Hands on project-management experience on claims-based analytic projects and or experience serving as a subject matter expert on the set up and coding of claims-based analytic projects.       
7, Data Analyst,https://www.dataanalyst.com//job/data-analyst-1e7,United States,Unum,"Chattanooga, TN",Hybrid,Insurance,['0 - 3 '],-73300----139200,"Mar 16, 2023",     Are you an asker of questions  a solver of problems  and a challenger of the status quo  Our mission is to provide a differentiated customer experience and exceed the expectations people have of technology at any company   not just insurers.       We are seeking individuals to join our team of talented IT professionals who share never-ending passion and an unwavering focus on our customer experience. Team members comfortable working in an agile  fast-paced  and delivery-focused environment thrive in our environment where we value an entrepreneurial spirit and those who challenge the status-quo.       Unum is changing  and we re excited about what s next. Join us.       General Summary       Unum is hiring for a Data Analyst who will be responsible for simple to moderately complicated data profiling  analysis  and mapping projects. In this role  you will collaborate closely with Business Analysts  Senior Data Analysts  business units  and application development teams to achieve your objectives.       Principal Duties And Responsibilities           Conduct data profiling and analysis to evaluate data sources to determine the best source for business information.          Complete source to target data mapping specifications  e.g. source to target can be from one DBMS table to another DBMS table  from a DBMS table into a canonical message structure  etc.           Design simple to moderately complex  flexible data models  conceptual and logical  through collaborations with analysts  engineers  and Physical DBA.          Create Capture documentation  metadata  that is up-to-date.          Collaborate with the test engineers to perform data validation and testing activities as appropriate.          Develop and maintain knowledge of the insurance industry.          Develop and maintain knowledge of data stored in company databases.          Adhere to approved architectural standards.          Thinks with the mind of the end customer at all times  ensuring solutions seek to improve the customer experience and delight their customers.       ,     Job Requirements           Bachelors Degree preferred  and or equivalent experience          2+ years experience with demonstrated success at the Associate level in Data Analysis or equivalent experience          Understanding of data profiling and analysis concepts  including data anomalies  data mapping activities.          Understanding of data modeling concepts          Ability to manage multiple tasks by paying close attention to detail          Ability to work as part of a team and interact effectively with others          Ability to embrace change  adapt to the unexpected  and focus energies  people  and solutions on practical and positive results          Basic problem solving skills          Strong communications skills          Knowledge of SQL          Strong team player  able to work effectively within a team and more broadly with people from a variety of backgrounds and areas across the organization.       
8," Data Analyst, BI",https://www.dataanalyst.com//job/data-analyst-bi-0,United States,Cityblock Health,Remote,Remote,Healthcare,['0 - 3 '],-90323----100100,"Mar 16, 2023",     The Data Analyst  Business Intelligence  CMDO  is primarily responsible for reporting  analytics  dashboard design  and development and implementation of strategic reporting architecture of Business Intelligence at the care management trend level. This individual must demonstrate an extensive understanding of complex SQL and or SAS coding methodology  report and dashboard design  automation  data governance  ETL concepts  and should possess excellent verbal and written communication skills. A practical understanding of the healthcare industry  and more specifically medical data related to health insurance claims  EHR  healthcare reporting  and healthcare statutes and regulations is required.       The senior analyst must have proven competency in data mining  investigating and reporting on highly structured or unstructured data  re-engineering existing queries to enhance performance  and identifying gaps in performance and data integrity.. As a Healthcare Business Intelligence Associate  you would work as part of a cross-functional team to create and maintain dashboards and other information products for our Care Management Delegation division. This role will be one of the main individuals responsible for synthesizing complex healthcare data and creating compelling  visual insights to drive initial market strategy and performance. This is a unique opportunity to launch deeply impactful clinical partnerships  aligning external partners with internal teams to lead change in the healthcare industry and to provide better healthcare outcomes for those who need it most.       You must be curious - excited to sink your teeth into complex problems across disciplines  untangle them and communicate your findings to the team. Behind every data element is a real person with real problems that Cityblock is working hard to address  and you are responsible for delivering accurate and timely information products to steer these efforts. You will be expected to develop a deep understanding of program components with respect to how to drive performance.       You must love collaboration  analysis and communication  and will work cross functionally with Implementation  Operations  Analytics  Compliance and Clinical teams.       You ll help to design and develop the reporting tools to measure operations - e.g. clinical  outreach and quality-related key performance indicators. You are forward thinking and can bounce between understanding data requirements and architecture to deriving and producing useful operational and performance dashboards. You can translate data insights into meaningful business cases to tell stories that drive action.    ,     Requirements for the Role            2+ years of professional experience with at least 1 year using business intelligence tools  e.g. Tableau  PowerBI  Looker  etc.  to develop metrics  data visualization  dashboards and a variety of information products for business users          You possess strong analytical and statistical skills to evaluate and analyze data - you know how to organize and clean data for analysis  you have experience with large and small data sets  you can translate data into static and dynamic information products for audiences ranging from front-line teams to executives  and proudly tell your friends and family about your spreadsheet skills          You have experience presenting technical outputs or concepts to a non-technical audience          You have the ability to balance competing priorities and set expectations with colleagues and stakeholders in a fast-paced environment          You have experience with healthcare data  e.g. claims  EHR EMRs  HIE feeds  Pharmacy Benefits  etc  operational workflow management and standard clinical metrics and taxonomies  DRGs  total cost of care  HCC  etc           You have demonstrated ability to engage  inspire  and build credibility and trust with your teams          You have a Bachelor s degree          SQL and or SAS coding          Experience managing large projects.          Experience working with relational databases.          Experience with data administration  design  and architecture.          Ability to articulate complex concepts  thought leadership and the business value of solutions in a clear and understandable way.          Excellent analytical and problem-solving skills.          Ability to handle multiple priorities in a fast-paced environment.          Complete  accurate dashboards and other informations products to inform operations          On time  high quality delivery of assignments          Effective engagement of cross-functional leaders in our design and implementations          Experience in Healthcare payer or provider setting  hospital  insurer  health tech  consulting   ideally focused on value-based care economics and operating models          Proficiency using scripting languages  particularly SQL  to load  transform  query and manipulate existing databases          What We d Like From You            A resume and or LinkedIn profile          A short cover letter  please        
9," Data Analyst, Grants",https://www.dataanalyst.com//job/data-analyst-grants,United States,ICF,"Dallas, TX",In-office,Consulting,['0 - 3 '],-58161----98873,"Mar 16, 2023",     ICF seeks a Grants Specialist Data Analyst to provide ongoing  prompt and accurate fiscal assistance to Head Start  HS  and Early Head Start  EHS  grantees and supports Federal staff with high quality grants management services. This includes preparing and tracking grants through review and funding processes  monitoring receipt and accuracy of grant documents  monitoring  evaluating  and resolving grant issues  and preparing grant closeouts. The Grants Specialist will be a critical thinker with outstanding attention to details and an eye towards process improvement. This position will be located at the regional office in Dallas TX.  with the possibility of up to 25  travel.       Key Responsibilities           Review and take action on applications so that they may be funded 30 days prior to a grantee s refunding date. Prepare continuation Financial Assistance Awards  FAAs  with cover letters for mailing out 30 days prior to a grantee s refunding date.          Prepare and track grants through review and funding process. Deliverables include completed grant review checklist  timely contact with grantees to resolve issues  negotiation sheets and FAAs prepared in Grants Solutions software  briefing meetings with program staff and with management  leading to the awarding of annual continuation grant awards  program improvement grant awards  cost-of-living grant awards  and one-time funding awards to grantees.          Monitor timeliness  receipt and accuracy of grant applications  financial reporting documents and financial drawdowns.          Correspond with grantee staff on a regular basis.          Monitor ongoing fiscal performance of grantees  evaluation of required fiscal reports  wage comparability study  resolution of audit findings and recommendations  and resolution of community individual complaints.          Prepare grant closeouts. Deliverables include a completed closeout checklist  assurance that reports and audits have been reviewed for completeness and correctness  a closeout letter that is sent to the grantee  and a closeout award processed in the Grants Solutions software system.          Assist regional offices with organization of records management systems.          Responsible for updating national database with current client assignments.          Filing correspondence  audit progress reports  financial status reports  applications  grant award documents and other business-related grant materials in the official grant files.          Distribute grant-related materials to recipients  program officials and the official grant files  as needed.          Create and or generate reports from national databases.          Operate and maintain multiple  on-line  and local data management tracking systems and databases.          Take notes during meetings with client staff and grantees.          Generate and mail miscellaneous correspondence with grant recipients.       ,     Basic Qualifications           Bachelor s Degree from an accredited university or college  with a preference for a degree in Accounting  Business Management  or a related field.          2+ years of progressive professional experience          1+ years  experience related to federal discretionary grants management non-profit or for-profit financial management  and regulatory compliance monitoring and oversight  with a preference for Head Start Early Head Start Programs          1+ years  experience aggregating  analyzing  charting  graphing and reporting on and presenting data gathered from multiple sources.          1+ years intermediate to advanced experience with Microsoft Suite including Outlook  Word  Excel and PowerPoint  desktop publishing  and ability to use current webinar technology and audio conferencing.          Must have valid driver s license and successfully pass a Motor Vehicle Records  MVR  check          Preferred Skills Experience           Background and training in accounting and or financial management  including audit resolution activities.          Experience with Grant Solutions.          Professional Skills           Excellent verbal and written communication skills required.          Strong analytical  problem-solving and decision-making capabilities.          Strong team player  with the ability to collaborate and work closely with Regional Office staff and other partners.          Ability to work with all levels of internal staff  as well as outside clients.          Superior attention to detail and the ability to meet stringent deadlines.          Ability to be flexible  multi-task  prioritize  and manage multiple activities simultaneously in a fast-paced  changing environment.          Exceptional interpersonal skills including courtesy  professionalism  and a cooperative attitude.          Ability to build productive business relationships.          Excellent time management and communication skills.          Ability to exercise good judgment  discretion  tact  and diplomacy.       
