"job_id","job_title","location","salary_currency","salary_min","salary_max","website","highest_ed","years_exp","continent","country","skills"
"40879","data analyst",NA,"USD",80000,110000,"ai-jobs.net",NA,5,NA,NA,"A/B testing, Data Analytics, Data Studio, Data warehouse, Engineering, Looker, Metabase, PostgreSQL, Python, Redash, SQL, Superset, Open Source, Data visualization, Collaboration, Tableau, Scripting"
"40788","ai application developer",NA,"USD",20000,30000,"ai-jobs.net",NA,NA,NA,NA,"Chatbots, ChatGPT, GPT, Research"
"40787","ai content creator",NA,"USD",20000,30000,"ai-jobs.net",NA,NA,NA,NA,"AI content, Anyword, Marketmuse, Research, Wordtune"
"40786","ai video producer",NA,"USD",20000,30000,"ai-jobs.net",NA,NA,NA,NA,"AI video, Pictory, Research"
"40785","ai artist",NA,"USD",20000,30000,"ai-jobs.net",NA,NA,NA,NA,"AI art, DALL-E, Midjourney, Research, Stable Diffusion"
"40784","ai writing creator",NA,"USD",20000,30000,"ai-jobs.net",NA,NA,NA,NA,"Copywriting, Prompt writing, Research, UX"
"41775","lead machine learning engineer","United States","USD",175000,2e+05,"ai-jobs.net","phd",3,"Americas","United States","Clojure, Computer Science, Data visualization, Deep Learning, E-commerce, GPU, Linear algebra, Machine Learning, Mathematics, ML models, PyTorch, Research, Statistics, Leadership, Communication, Collaboration, TensorFlow, Problem solving, Data preprocessing, PhD, Data science"
"41469","senior research engineer llms privacy",NA,"USD",84800,106000,"ai-jobs.net",NA,NA,NA,NA,"Architecture, Engineering, GitHub, GPU, HPC, LLMs, Machine Learning, Model inference, NLP, Privacy, Research, Security, Transformers, Communication, Collaboration, Teamwork"
"41075","university professor of artificial intelligence in protein science","Germany","USD",63600,94340,"ai-jobs.net","master",NA,"Europe","Germany","Biochemistry, Biology, Chemistry, Machine Learning, Research, Teaching, Data visualization, Leadership"
"40454","quantitative researcher machine learning ai","Netherlands","USD",2e+05,250000,"ai-jobs.net","phd",NA,"Europe","Netherlands","Computer Science, Deep Learning, Economics, Engineering, Finance, Machine Learning, Mathematics, PhD, Physics, Python, Research, Statistics, Testing, Collaboration, Trading Strategies, Problem solving, C++"
"39437","research scientist","United States","USD",70000,85000,"ai-jobs.net","phd",3,"Americas","United States","Computer Science, Deep Learning, Engineering, Machine Learning, Mathematics, PhD, Python, Research, Scikit-learn, Data science, Data preprocessing, Collaboration"
"38846","teaching professor and academic director of msba program","United States","USD",120000,150000,"ai-jobs.net","phd",NA,"Americas","United States","Business Analytics, Data Analytics, Teaching, Data driven decision making, Collaboration, Leadership, Data science, PhD"
"38514","director scientific data division","United States","USD",220000,457000,"ai-jobs.net","phd",10,"Americas","United States","Biology, Classification, Computer Science, Data management, Engineering, Finance, Machine Learning, Mathematics, PHP, Physics, Research, Data science, Leadership, Collaboration, Security, Data analysis, Communication, PhD, Creativity, Problem solving"
"38424","assistant professor position","United States","USD",60000,NA,"ai-jobs.net","phd",NA,"Americas","United States","Engineering, Industrial, PhD, Research, Teaching, Collaboration"
"37995","assistant adjunct professor data science school of information","United States","USD",82000,107000,"ai-jobs.net","phd",NA,"Americas","United States","Computer Science, Economics, Engineering, Machine Learning, NLP, PhD, Research, Data science, Data engineering, Natural Language Processing, Teaching, Collaboration"
"41900","senior data engineer","Israel","USD",115000,180000,"ai-jobs.net",NA,4,"Asia","Israel","Airflow, API Development, APIs, AWS, Big Data, Data pipelines, Engineering, ETL, Hadoop, NoSQL, Pipelines, Python, Scala, Spark, Data processing, Programming, Collaboration, Data engineering, SQL, Data modeling, Curiosity"
"41922","member of technical staff machine learning","India","USD",55000,102000,"ai-jobs.net","bachelor",NA,"Asia","India","Architecture, AWS, Business Intelligence, Elasticsearch, Engineering, Machine Learning, ML models, Open Source, Python, Research, SageMaker, Scala, Spark, SQL, Data science, Streaming, Data processing, Critical thinking, Problem solving"
"41906","senior data engineer","Sweden","USD",115000,180000,"ai-jobs.net",NA,NA,"Europe","Sweden","Agile, Airflow, AWS, Azure, BigQuery, CI/CD, Data warehouse, Engineering, ETL, GCP, Git, Kafka, Kubernetes, Machine Learning, Pipelines, Python, Redshift, Scala, Spark, Communication, Programming, Problem solving, Collaboration, Streaming"
"41876","data analyst strategy operations","France","USD",42000,60000,"ai-jobs.net",NA,NA,"Europe","France","Airflow, BigQuery, Consulting, GCP, GitHub, Google Cloud, Python, R, R&D, SQL, Travel, Collaboration, Tableau"
