"skill","search_word"
"A/B testing","a/b testing"
"Data Analytics","data analytics"
"Data Studio","data studio"
"Data warehouse","data warehouse"
"Engineering","engineering"
"Looker","looker"
"Metabase","metabase"
"PostgreSQL","postgresql"
"Python","python"
"Redash","redash"
"SQL","sql"
"Superset","superset"
"Tableau","tableau"
"Chatbots","chatbots"
"ChatGPT","chatgpt"
"GPT","gpt"
"Research","research"
"AI content","ai content"
"Anyword","anyword"
"Marketmuse","marketmuse"
"Wordtune","wordtune"
"AI video","ai video"
"Pictory","pictory"
"AI art","ai art"
"DALL-E","dall e"
"Midjourney","midjourney"
"Stable Diffusion","stable diffusion"
"Copywriting","copywriting"
"Prompt writing","prompt writing"
"UX","ux"
"Clojure","clojure"
"Computer Science","computer science"
"Data visualization","visual"
"Deep Learning","deep learning"
"E-commerce","e commerce"
"GPU","gpu"
"Linear algebra","linear algebra"
"Machine Learning","machine learning"
"Mathematics","mathematics"
"ML models","ml models"
"PyTorch","pytorch"
"Statistics","statistics"
"TensorFlow","tensorflow"
"Architecture","architecture"
"GitHub","github"
"HPC","hpc"
"LLMs","llms"
"Model inference","model inference"
"NLP","nlp"
"Privacy","privacy"
"Security","security"
"Transformers","transformers"
"Biochemistry","biochemistry"
"Biology","biology"
"Chemistry","chemistry"
"Teaching","teaching"
"Economics","economics"
"Finance","finance"
"PhD","phd"
"Physics","physics"
"Testing","testing"
"Trading Strategies","trading strategies"
"Scikit-learn","scikit learn"
"Business Analytics","business analytics"
"Classification","classification"
"Data management","data management"
"PHP","php"
"Industrial","industrial"
"Airflow","airflow"
"API Development","api development"
"APIs","apis"
"AWS","aws"
"Big Data","big data"
"Data pipelines","data pipelines"
"ETL","etl"
"Hadoop","hadoop"
"NoSQL","nosql"
"Pipelines","pipelines"
"Scala","scala"
"Spark","spark"
"Business Intelligence","business intelligence"
"Elasticsearch","elasticsearch"
"Open Source","open source"
"SageMaker","sagemaker"
"Streaming","streaming"
"Agile","agile"
"Azure","azure"
"BigQuery","bigquery"
"CI/CD","ci/cd"
"GCP","gcp"
"Git","git"
"Kafka","kafka"
"Kubernetes","kubernetes"
"Redshift","redshift"
"Consulting","consulting"
"Google Cloud","google cloud"
"R","r"
"R&D","r&d"
"Data Mining","data mining"
"Data quality","data quality"
"DevOps","devops"
"GitLab","gitlab"
"Unstructured data","unstructured data"
"Data analysis","data analysis"
"Pandas","pandas"
"Power BI","power bi"
"Flink","flink"
"Linux","linux"
"Scrum","scrum"
"Grafana","grafana"
"Prototyping","prototyping"
"Informatica","informatica"
"Qlik","qlik"
"Talend","talend"
"Kanban","kanban"
"Snowflake","snowflake"
"Blockchain","blockchain"
"Crypto","crypto"
"Neo4j","neo4j"
"QlikView","qlikview"
"SAS","sas"
"Genetics","genetics"
"GANs","gans"
"Keras","keras"
"Kubeflow","kubeflow"
"MLFlow","mlflow"
"MLOps","mlops"
"Semantic Analysis","semantic analysis"
"Avro","avro"
"Dataflow","dataflow"
"Docker","docker"
"DynamoDB","dynamodb"
"Flask","flask"
"Kinesis","kinesis"
"LightGBM","lightgbm"
"MySQL","mysql"
"Terraform","terraform"
"XGBoost","xgboost"
"Dataproc","dataproc"
"OOP","oop"
"XSD","xsd"
"Bitbucket","bitbucket"
"Lambda","lambda"
"Microservices","microservices"
"MongoDB","mongodb"
"STEM","stem"
"Amplitude","amplitude"
"Excel","excel"
"ELT","elt"
"Databricks","databricks"
"Predictive Maintenance","predictive maintenance"
"Distributed Systems","distributed systems"
"MPP","mpp"
"Predictive modeling","predictive modeling"
"QuickSight","quicksight"
"FinTech","fintech"
"Data governance","data governance"
"Data strategy","data strategy"
"Jira","jira"
"ANN","ann"
"C++","c++"
"Robotics","robotics"
"Nonprofit","nonprofit"
"Splunk","splunk"
"Jupyter","jupyter"
"NumPy","numpy"
"Plotly","plotly"
"Statistical modeling","statistical modeling"
"Banking","banking"
"DataOps","dataops"
"Data Warehousing","data warehousing"
"RDBMS","rdbms"
"Consulting firm","consulting firm"
"Market research","market research"
"Angular","angular"
"Node.js","nodejs"
"React","react"
"Causal inference","causal inference"
"CSV","csv"
"JSON","json"
"XML","xml"
"LookML","lookml"
"MS SQL","ms sql"
"T-SQL","t sql"
"Oracle","oracle"
"RPA","rpa"
"SSIS","ssis"
"Travel","travel"
"ITIL","itil"
"KPIs","kpis"
"Pentaho","pentaho"
"Clustering","clustering"
"Shell scripting","shell scripting"
"ML infrastructure","ml infrastructure"
"Athena","athena"
"FiveTran","fivetran"
"OLAP","olap"
"TDD","tdd"
"Ansible","ansible"
"Cassandra","cassandra"
"HBase","hbase"
"Julia","julia"
"DB2","db2"
"HDFS","hdfs"
"Map Reduce","map reduce"
"Maven","maven"
"Spotfire","spotfire"
"Ruby","ruby"
"Perl","perl"
"JavaScript","javascript"
"RapidMiner","rapidminer"
"Autonomous Driving","autonomous driving"
"Caffe","caffe"
"Computer Vision","computer vision"
"CUDA","cuda"
"MXNet","mxnet"
"OpenCV","opencv"
"Theano","theano"
"Teradata","teradata"
"Conversational AI","conversational ai"
"NLTK","nltk"
"EDA","eda"
"Kibana","kibana"
"Logstash","logstash"
"TensorRT","tensorrt"
"Drug discovery","drug discovery"
"Pulsar","pulsar"
"Golang","golang"
"VR","vr"
"Healthcare technology","healthcare technology"
"PySpark","pyspark"
".NET","net"
"Model training","model training"
"Recommender systems","recommender systems"
"KNIME","knime"
"Content creation","content creation"
"SharePoint","sharepoint"
"EC2","ec2"
"Diffusion models","diffusion models"
"ICLR","iclr"
"ICML","icml"
"NeurIPS","neurips"
"Cluster analysis","cluster analysis"
"RNN","rnn"
"REST API","rest api"
"Matillion","matillion"
"Feature engineering","feature engineering"
"SDLC","sdlc"
"OpenStack","openstack"
"TypeScript","typescript"
"Radar","radar"
"Lidar","lidar"
"Drones","drones"
"Econometrics","econometrics"
"statsmodels","statsmodels"
"D3","d3"
"Matplotlib","matplotlib"
"ElasticNet","elasticnet"
"Dagster","dagster"
"Helm","helm"
"Oozie","oozie"
"Model deployment","model deployment"
"Model design","model design"
"Trifacta","trifacta"
"MariaDB","mariadb"
"Parquet","parquet"
"Bayesian","bayesian"
"ECS","ecs"
"Quantum algorithms","quantum algorithms"
"RabbitMQ","rabbitmq"
"Monte Carlo","monte carlo"
"CX","cx"
"Django","django"
"fastai","fastai"
"Horovod","horovod"
"Lua","lua"
"Markov Chain","markov chain"
"AI governance","ai governance"
"spaCy","spacy"
"OKR","okr"
"Rust","rust"
"ELK","elk"
"RDKit","rdkit"
"Weights & Biases","weights & biases"
"SciPy","scipy"
"Credit risk","credit risk"
"ES6","es6"
