,fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,party_simple,key,ballotpedia,bioguide_id,twitter_name,twitter_id,twitter_status_tweet,twitter_status_name,twitter_status_id
0,H2CO07170,"AADLAND, ERIK",CO,7,REPUBLICAN PARTY,House,Open seat,P,Republican,erik  aadland,https://ballotpedia.org/Erik_Aadland,,aadlandforco,1393032540345274368,,,
1,H2CO07170,"AADLAND, ERIK",CO,7,REPUBLICAN PARTY,House,Open seat,P,Republican,erik  aadland,https://ballotpedia.org/Erik_Aadland,,drkimschrier,862393019173003264,,,
3,H2UT03280,"AALDERS, TIM",UT,3,REPUBLICAN PARTY,House,Challenger,C,Republican,tim  aalders,https://ballotpedia.org/Tim_Aalders,,repkimschrier,1080462532815532032,,,
5,H2CA30291,"AAZAMI, SHERVIN",CA,32,DEMOCRATIC PARTY,House,Challenger,N,Democrat,shervin  aazami,https://ballotpedia.org/Shervin_Aazami,,drkimschrier,862393019173003264,,,
6,H2MN07162,"ABAHSAIN, JILL",MN,7,DEMOCRATIC-FARMER-LABOR,House,Challenger,P,Other,jill  abahsain,,,aazamishervin,1085635085892759554,,,
7,H2MN07162,"ABAHSAIN, JILL",MN,7,DEMOCRATIC-FARMER-LABOR,House,Challenger,P,Other,jill  abahsain,,,repkimschrier,1080462532815532032,,,
8,H2NY12197,"ABDELHAMID, RANA",NY,12,DEMOCRATIC PARTY,House,Challenger,P,Democrat,rana  abdelhamid,,,,,,,
9,H2MN05174,"ABDIRAHMAN, SHUKRI ABDULLAHI MS.",MN,5,REPUBLICAN PARTY,House,Challenger,P,Republican,shukri  abdirahman,,,hank_schroeder,2972291229,,,
11,H2OH09197,"ABDULLAHI, MUNIRA YASIN",OH,9,DEMOCRATIC PARTY,House,Challenger,N,Democrat,munira  abdullahi,,,,,,,
12,H0CA50129,"ABED, SAM",CA,50,REPUBLICAN PARTY,House,Challenger,C,Republican,sam  abed,,,,,,,
13,H2NY04251,"ABELOVE, JASON L",NY,4,DEMOCRATIC PARTY,House,Challenger,N,Democrat,jason  abelove,,,,,,,
14,H2HI01146,"ABKIN, STEVEN L.",HI,1,NONPARTISAN,House,Challenger,N,Other,steven  abkin,https://ballotpedia.org/Steven_Abkin,,,,,,
16,H2MN01371,"ABRAHAMSON, BRIAN",MN,1,OTHER,House,Challenger,N,Other,brian  abrahamson,https://ballotpedia.org/Brian_Abrahamson,,sterlingschwab,2281565005,,,
17,H2SC04154,"ABUZEID, GEORGE ASSAD",SC,4,REPUBLICAN PARTY,House,Challenger,P,Republican,george  abuzeid,https://ballotpedia.org/George_Abuzeid,,,,,,
18,H2NH01254,"ACCIARD, JULIAN MARC",NH,1,REPUBLICAN PARTY,House,Challenger,P,Republican,julian  acciard,,,,,,,
20,H2CA18171,"ACEVEDO-ARREGUIN, LUIS",CA,18,DEMOCRATIC PARTY,House,Challenger,P,Democrat,luis  acevedoarreguin,,,davidschweikert,21509894,,,
21,H2FL10218,"ACHENBACH, JACK JOSEPH",FL,10,DEMOCRATIC PARTY,House,Open seat,C,Democrat,jack  achenbach,https://ballotpedia.org/Jack_Achenbach,,repdavid,229197216,,,
22,H2FL10218,"ACHENBACH, JACK JOSEPH",FL,10,DEMOCRATIC PARTY,House,Open seat,C,Democrat,jack  achenbach,https://ballotpedia.org/Jack_Achenbach,,georgeabuzeidsc,1455182996793925634,,,
24,H2UT02431,"ACHESON, PHELAN DOUGLAS",UT,2,INDEPENDENT,House,Challenger,N,Other,phelan  acheson,,,repdavid,229197216,,,
25,H2NC05165,"ACKERMAN, MICHAEL STEPHAN",NC,5,REPUBLICAN PARTY,House,Challenger,C,Republican,michael  ackerman,https://ballotpedia.org/Michael_Ackerman_(North_Carolina),,davidschweikert,21509894,,,
27,H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,Democrat,alma  adams,https://ballotpedia.org/Alma_Adams,A000370,jackachenbach,,No tweets found.,Name not found.,
