fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,bioguide_id,ballotpedia_id,govtrack_id,twitter_id,twitter_name,party_simple,key,ballotpedia
H2CO07170,"AADLAND, ERIK",CO,07,REPUBLICAN PARTY,House,Open seat,P,,,,,aadlandforco,Republican,erik  aadland,https://ballotpedia.org/Erik_Aadland
H2UT03280,"AALDERS, TIM",UT,03,REPUBLICAN PARTY,House,Challenger,C,,,,,,Republican,tim  aalders,https://ballotpedia.org/Tim_Aalders
H2CA30291,"AAZAMI, SHERVIN",CA,32,DEMOCRATIC PARTY,House,Challenger,N,,,,,aazamishervin,Democrat,shervin  aazami,https://ballotpedia.org/Shervin_Aazami
H2MN07162,"ABAHSAIN, JILL",MN,07,DEMOCRATIC-FARMER-LABOR,House,Challenger,P,,,,,,Other,jill  abahsain,NA
H2NY12197,"ABDELHAMID, RANA",NY,12,DEMOCRATIC PARTY,House,Challenger,P,,,,,,Democrat,rana  abdelhamid,NA
H2MN05174,"ABDIRAHMAN, SHUKRI ABDULLAHI MS.",MN,05,REPUBLICAN PARTY,House,Challenger,P,,,,,,Republican,shukri  abdirahman,NA
H2OH09197,"ABDULLAHI, MUNIRA YASIN",OH,09,DEMOCRATIC PARTY,House,Challenger,N,,,,,,Democrat,munira  abdullahi,NA
H0CA50129,"ABED, SAM",CA,50,REPUBLICAN PARTY,House,Challenger,C,,,,,,Republican,sam  abed,NA
H2NY04251,"ABELOVE, JASON L",NY,04,DEMOCRATIC PARTY,House,Challenger,N,,,,,,Democrat,jason  abelove,NA
H2HI01146,"ABKIN, STEVEN L.",HI,01,NONPARTISAN,House,Challenger,N,,,,,,Other,steven  abkin,https://ballotpedia.org/Steven_Abkin
H2MN01371,"ABRAHAMSON, BRIAN",MN,01,OTHER,House,Challenger,N,,,,,,Other,brian  abrahamson,https://ballotpedia.org/Brian_Abrahamson
H2SC04154,"ABUZEID, GEORGE ASSAD",SC,04,REPUBLICAN PARTY,House,Challenger,P,,,,,georgeabuzeidsc,Republican,george  abuzeid,https://ballotpedia.org/George_Abuzeid
H2NH01254,"ACCIARD, JULIAN MARC",NH,01,REPUBLICAN PARTY,House,Challenger,P,,,,,,Republican,julian  acciard,NA
H2CA18171,"ACEVEDO-ARREGUIN, LUIS",CA,18,DEMOCRATIC PARTY,House,Challenger,P,,,,,,Democrat,luis  acevedoarreguin,NA
H2FL10218,"ACHENBACH, JACK JOSEPH",FL,10,DEMOCRATIC PARTY,House,Open seat,C,,,,,jackachenbach,Democrat,jack  achenbach,https://ballotpedia.org/Jack_Achenbach
H2UT02431,"ACHESON, PHELAN DOUGLAS",UT,02,INDEPENDENT,House,Challenger,N,,,,,,Other,phelan  acheson,NA
H2NC05165,"ACKERMAN, MICHAEL STEPHAN",NC,05,REPUBLICAN PARTY,House,Challenger,C,,,,,ackermanfornc,Republican,michael  ackerman,https://ballotpedia.org/Michael_Ackerman_(North_Carolina)
H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,A000370,Alma Adams,412607,2916086925,repadams,Democrat,alma  adams,https://ballotpedia.org/Alma_Adams
H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,A000370,Alma Adams,412607,2147483647,repadams,Democrat,alma  adams,https://ballotpedia.org/Alma_Adams
H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,A000370,Alma Adams,412607,2916086925,almaforcongress,Democrat,alma  adams,https://ballotpedia.org/Alma_Adams
H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,A000370,Alma Adams,412607,2147483647,almaforcongress,Democrat,alma  adams,https://ballotpedia.org/Alma_Adams
H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,A000370,Alma Adams,412607,1609364557,repadams,Democrat,alma  adams,https://ballotpedia.org/Alma_Adams
H4NC12100,"ADAMS, ALMA SHEALEY",NC,12,DEMOCRATIC PARTY,House,Incumbent,N,A000370,Alma Adams,412607,1609364557,almaforcongress,Democrat,alma  adams,https://ballotpedia.org/Alma_Adams
H2NV01322,"ADAMS, JANE",NV,01,REPUBLICAN PARTY,House,Challenger,N,,,,,ilovejaneadams,Republican,jane  adams,https://ballotpedia.org/Jane_Adams
H2TN03235,"ADAMS, MATT",TN,03,DEMOCRATIC PARTY,House,Challenger,P,,,,,,Democrat,matt  adams,NA
H2SC06126,"ADDISON, MICHAEL ANTONIO DR.",SC,06,DEMOCRATIC PARTY,House,Challenger,N,,,,,,Democrat,michael  addison,https://ballotpedia.org/Michael_Addison
H2TX09131,"ADDISON, RANDALL LEE MR.",TX,09,INDEPENDENT,House,Challenger,N,,,,,,Other,randall  addison,NA
H2FL21132,"ADEIMY, DEBORAH",FL,22,REPUBLICAN PARTY,House,Challenger,N,,,,,debadeimy,Republican,deborah  adeimy,https://ballotpedia.org/Deborah_Adeimy
H2CT81017,"ADELPHI, ADRIAN",CT,81,INDEPENDENT CONSERVATIVE DEMOCRATIC,House,Challenger,N,,,,,,Other,adrian  adelphi,NA
H6AL04098,"ADERHOLT, ROBERT B. REP.",AL,04,REPUBLICAN PARTY,House,Incumbent,N,A000055,Robert B. Aderholt,400004,76452765,robert_aderholt,Republican,robert  aderholt,https://ballotpedia.org/Robert_Aderholt
H0KS03236,"ADKINS, AMANDA",KS,03,REPUBLICAN PARTY,House,Challenger,P,,,,,amanda_adkins,Republican,amanda  adkins,https://ballotpedia.org/Amanda_Adkins
H2VA07212,"ADKINS, GARY GENE",VA,07,REPUBLICAN PARTY,House,Challenger,N,,,,,,Republican,gary  adkins,NA
H2NV02536,"AFZAL, JOSEPH EDWARD",NV,02,DEMOCRATIC PARTY,House,Challenger,N,,,,,joeyafzal,Democrat,joseph  afzal,https://ballotpedia.org/Joseph_Afzal
H2OH05054,"AGAN, JEFFREY JOHN MR. JR",OH,05,DEMOCRATIC PARTY,House,Challenger,N,,,,,,Democrat,jeffrey  agan,NA
H2NY11165,"AGODA-KOUSSEMA, KOMI L.T. DR.",NY,11,DEMOCRATIC PARTY,House,Challenger,P,,,,,agoda4sibk,Democrat,komi  agodakoussema,https://ballotpedia.org/Komi_Agoda-Koussema
H2AK00374,"AGUAYO, DENNIS W. ""DENNY""",AK,00,NONPARTISAN,House,Open seat,N,,,,,,Other,dennis  aguayo,https://ballotpedia.org/Dennis_Aguayo
H0FL04140,"AGUILAR, ERICK JAVIER",FL,04,REPUBLICAN PARTY,House,Challenger,P,,,,,erickaguilarjax,Republican,erick  aguilar,https://ballotpedia.org/Erick_Aguilar
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,A000371,Pete Aguilar,412615,3018670151,reppeteaguilar,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,A000371,Pete Aguilar,412615,768489333393272832,reppeteaguilar,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,A000371,Pete Aguilar,412615,3018670151,peteaguilar,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,A000371,Pete Aguilar,412615,768489333393272832,peteaguilar,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,A000371,Pete Aguilar,412615,3018670151,aguilarpete,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,A000371,Pete Aguilar,412615,768489333393272832,aguilarpete,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,A000371,Pete Aguilar,412615,2147483647,reppeteaguilar,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,A000371,Pete Aguilar,412615,2147483647,peteaguilar,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,A000371,Pete Aguilar,412615,2147483647,aguilarpete,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,A000371,Pete Aguilar,412615,41533245,reppeteaguilar,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,A000371,Pete Aguilar,412615,41533245,peteaguilar,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar
H2CA31125,"AGUILAR, PETE",CA,33,DEMOCRATIC PARTY,House,Incumbent,C,A000371,Pete Aguilar,412615,41533245,aguilarpete,Democrat,pete  aguilar,https://ballotpedia.org/Pete_Aguilar
H2IL03188,"AGUIRRE, JUAN ENRIQUE",IL,03,DEMOCRATIC PARTY,House,Challenger,P,,,,,,Democrat,juan  aguirre,https://ballotpedia.org/Juan_Aguirre_(Illinois)
H2IL08146,"AHMED, JUNAID",IL,08,DEMOCRATIC PARTY,House,Challenger,P,,,,,junaidforus,Democrat,junaid  ahmed,https://ballotpedia.org/Junaid_Ahmed
H2NC02279,"AHRENS, RICHARD JAMES JR.",NC,02,REPUBLICAN PARTY,House,Challenger,N,,,,,,Republican,richard  ahrens,NA
H4NC02127,"AIKEN, CLAYTON CLAY",NC,04,DEMOCRATIC PARTY,House,Open seat,P,,,,,clayaiken,Democrat,clayton  aiken,https://ballotpedia.org/Clay_Aiken
H2NC01255,"AIKEN, WILLIAM",NC,01,REPUBLICAN PARTY,House,Open seat,P,,,,,,Republican,william  aiken,https://ballotpedia.org/Will_Aiken
H0HI02213,"AKANA, JOSEPH",HI,02,REPUBLICAN PARTY,House,Challenger,P,,,,,joe_akana,Republican,joseph  akana,https://ballotpedia.org/Joseph_Akana
H2NY05118,"AKHLAGHY, NADER",NY,05,PEACE AND FREEDOM PARTY,House,Challenger,N,,,,,,Other,nader  akhlaghy,NA
H2OR04152,"AL-ABDRABBUH, SAMI",OR,04,DEMOCRATIC PARTY,House,Open seat,P,,,,,samioregon,Democrat,sami  alabdrabbuh,https://ballotpedia.org/Sami_Al-Abdrabbuh
H2FL11166,"ALCANTARA, CHRISTOPHER MANUEL",FL,11,NO PARTY AFFILIATION,House,Challenger,N,,,,,,Other,christopher  alcantara,NA
H6NH02089,"ALCIERE, TOM",NH,01,REPUBLICAN PARTY,House,Challenger,N,,,,,tomalciere,Republican,tom  alciere,https://ballotpedia.org/Tom_Alciere
H2AL01200,"ALCORN, PETER DAVID",AL,01,REPUBLICAN PARTY,House,Challenger,N,,,,,,Republican,peter  alcorn,NA
H2HI01112,"ALCUBILLA, SERGIO JOSEPHUS MR. III",HI,01,DEMOCRATIC PARTY,House,Challenger,P,,,,,sergio4hawaii,Democrat,sergio  alcubilla,https://ballotpedia.org/Sergio_Alcubilla
H2OH07258,"ALEXANDER, ANTHONY LEON",OH,07,REPUBLICAN PARTY,House,Open seat,N,,,,,anthony4congres,Republican,anthony  alexander,https://ballotpedia.org/Anthony_Leon_Alexander
H2WI02199,"ALEXANDER, DOUGLAS",WI,02,INDEPENDENT,House,Challenger,N,,,,,douglaswi1957,Other,douglas  alexander,https://ballotpedia.org/Douglas_Alexander_(Wisconsin)
H2OH11300,"ALEXANDER, MARTIN",OH,06,DEMOCRATIC PARTY,House,Challenger,N,,,,,,Democrat,martin  alexander,https://ballotpedia.org/Martin_Alexander
H2MO07127,"ALEXANDER, SAM DR",MO,07,REPUBLICAN PARTY,House,Open seat,C,,,,,,Republican,sam  alexander,https://ballotpedia.org/Sam_Alexander_(Missouri)
H2NJ02193,"ALEXANDER, TIMOTHY C",NJ,02,DEMOCRATIC PARTY,House,Challenger,P,,,,,talexander_nj02,Democrat,timothy  alexander,https://ballotpedia.org/Tim_Alexander
H2MI04260,"ALFONSO, JOSEPH",MI,04,DEMOCRATIC PARTY,House,Challenger,N,,,,,alfonsoformi4,Democrat,joseph  alfonso,https://ballotpedia.org/Joseph_Alfonso
H2MO04207,"ALFORD, MARK",MO,04,REPUBLICAN PARTY,House,Incumbent,C,A000379,,456909,,repmarkalford,Republican,mark  alford,https://ballotpedia.org/Mark_Alford
H2MO04207,"ALFORD, MARK",MO,04,REPUBLICAN PARTY,House,Incumbent,C,A000379,,456909,,markalfordkc,Republican,mark  alford,https://ballotpedia.org/Mark_Alford
H2NC06098,"ALLAM, NIDA",NC,04,DEMOCRATIC PARTY,House,Challenger,P,,,,,nidaallam,Democrat,nida  allam,https://ballotpedia.org/Nida_Allam
H2CO08103,"ALLCORN, TYLER",CO,08,REPUBLICAN PARTY,House,Open seat,C,,,,,allcorn4co,Republican,tyler  allcorn,https://ballotpedia.org/Tyler_Allcorn
H2IN07195,"ALLEN, BILL",IN,07,REPUBLICAN PARTY,House,Challenger,C,,,,,,Republican,bill  allen,https://ballotpedia.org/Bill_Allen_(Indiana)
H4CA24175,"ALLEN, BRAD DR",CA,24,REPUBLICAN PARTY,House,Challenger,N,,,,,,Republican,brad  allen,https://ballotpedia.org/Brad_Allen_(California)
H2CA24229,"ALLEN, BRAD DR.",CA,24,REPUBLICAN PARTY,House,Challenger,P,,,,,,Republican,brad  allen,https://ballotpedia.org/Brad_Allen_(California)
H2PA10108,"ALLEN, BRIAN",PA,10,REPUBLICAN PARTY,House,Challenger,P,,,,,,Republican,brian  allen,NA
H2IL17105,"ALLEN, COREY",IL,17,REPUBLICAN PARTY,House,Open seat,N,,,,,,Republican,corey  allen,NA
H2SC07256,"ALLEN, GRAHAM",SC,07,REPUBLICAN PARTY,House,Challenger,C,,,,,,Republican,graham  allen,NA
H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,A000372,Rick Allen,412625,2964287128,reprickallen,Republican,richard  allen,https://ballotpedia.org/Rick_Allen
H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,A000372,Rick Allen,412625,2147483647,reprickallen,Republican,richard  allen,https://ballotpedia.org/Rick_Allen
H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,A000372,Rick Allen,412625,2964287128,rickallen,Republican,richard  allen,https://ballotpedia.org/Rick_Allen
H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,A000372,Rick Allen,412625,2147483647,rickallen,Republican,richard  allen,https://ballotpedia.org/Rick_Allen
H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,A000372,Rick Allen,412625,385111151,reprickallen,Republican,richard  allen,https://ballotpedia.org/Rick_Allen
H2GA12121,"ALLEN, RICHARD W",GA,12,REPUBLICAN PARTY,House,Incumbent,C,A000372,Rick Allen,412625,385111151,rickallen,Republican,richard  allen,https://ballotpedia.org/Rick_Allen
H2SC01093,"ALLEN, THOMAS JASON",SC,01,REPUBLICAN PARTY,House,Challenger,N,,,,,,Republican,thomas  allen,NA
H2TN06154,"ALLEY, JOSH",TN,06,INDEPENDENT,House,Challenger,N,,,,,,Other,josh  alley,NA
H2MD04364,"ALLISON, TAMMY",MD,04,DEMOCRATIC PARTY,House,Open seat,N,,,,,,Democrat,tammy  allison,https://ballotpedia.org/Tammy_Allison_(Texas)
H8TX32098,"ALLRED, COLIN",TX,32,DEMOCRATIC PARTY,House,Incumbent,C,A000376,Colin Allred,412828,1078355119920562176,repcolinallred,Democrat,colin  allred,https://ballotpedia.org/Colin_Allred
H8TX32098,"ALLRED, COLIN",TX,32,DEMOCRATIC PARTY,House,Incumbent,C,A000376,Colin Allred,412828,1078355119920562176,colinallredtx,Democrat,colin  allred,https://ballotpedia.org/Colin_Allred
H8TX32098,"ALLRED, COLIN",TX,32,DEMOCRATIC PARTY,House,Incumbent,C,A000376,Colin Allred,412828,346964561,repcolinallred,Democrat,colin  allred,https://ballotpedia.org/Colin_Allred
H8TX32098,"ALLRED, COLIN",TX,32,DEMOCRATIC PARTY,House,Incumbent,C,A000376,Colin Allred,412828,346964561,colinallredtx,Democrat,colin  allred,https://ballotpedia.org/Colin_Allred
H0GA03074,"ALMONORD, VALBRUN DR.",GA,03,DEMOCRATIC PARTY,House,Challenger,P,,,,,valforcongress3,Democrat,valbrun  almonord,https://ballotpedia.org/Val_Almonord
H2FL23120,"ALMONTE, MELINDA",FL,24,REPUBLICAN PARTY,House,Challenger,C,,,,,,Republican,melinda  almonte,NA
H2OR06108,"ALONSO LEON, TERESA",OR,06,DEMOCRATIC PARTY,House,Open seat,P,,,,,teresa4oregon,Democrat,teresa  leon,https://ballotpedia.org/Teresa_Alonso_Leon
H2OR06108,"ALONSO LEON, TERESA",OR,06,DEMOCRATIC PARTY,House,Open seat,P,,,,,alonsonhli_leon,Democrat,teresa  leon,https://ballotpedia.org/Teresa_Alonso_Leon
H8IN09131,"ALSPACH, JAMES DEAN",IN,06,REPUBLICAN PARTY,House,Challenger,N,,,,,,Republican,james  alspach,https://ballotpedia.org/James_Dean_Alspach
H2VA02072,"ALTMAN, LARRY THOMAS III",VA,02,REPUBLICAN PARTY,House,Challenger,C,,,,,tommyaltman,Republican,larry  altman,https://ballotpedia.org/Tommy_Altman
H2TX15146,"ALVARADO, ELIZA DR.",TX,15,DEMOCRATIC PARTY,House,Challenger,C,,,,,,Democrat,eliza  alvarado,https://ballotpedia.org/Eliza_Alvarado
H2TX22134,"ALVAREZ, ANDREW RUBEN",TX,09,REPUBLICAN PARTY,House,Challenger,N,,,,,,Republican,andrew  alvarez,NA
H2GA10174,"ALVEY, ANDREW",GA,10,REPUBLICAN PARTY,House,Open seat,N,,,,,,Republican,andrew  alvey,NA
H4AS00036,"AMATA, AUMUA",AS,00,REPUBLICAN PARTY,House,Incumbent,C,R000600,Amata Radewagen,412664,3026622545,,Republican,aumua  amata,NA
H2CA23148,"AMATO, BRUNO",CA,23,DEMOCRATIC PARTY,House,Challenger,C,,,,,,Democrat,bruno  amato,NA
H2AK00556,"AMBROSE, DAVID",AK,00,WRITE-IN,House,Challenger,N,,,,,,Other,david  ambrose,https://ballotpedia.org/David_Ambrose
H2MI11265,"AMBROSE, MARK",MI,11,REPUBLICAN PARTY,House,Challenger,P,,,,,votemarkambrose,Republican,mark  ambrose,https://ballotpedia.org/Mark_Ambrose
H2MD02368,"AMBROSE, NICOLEE",MD,02,REPUBLICAN PARTY,House,Challenger,P,,,,,nicoleeambrose,Republican,nicolee  ambrose,https://ballotpedia.org/Nicolee_Ambrose
H0ME01127,"AMEDE, AARON",ME,01,DEMOCRATIC PARTY,House,Challenger,N,,,,,,Democrat,aaron  amede,NA
H2OH03208,"AMICUCCI, ALEXANDER Q.",OH,03,WRITE-IN,House,Challenger,N,,,,,,Other,alexander  amicucci,NA
H2NV02395,"AMODEI, MARK EUGENE",NV,02,REPUBLICAN PARTY,House,Incumbent,C,A000369,Mark Amodei,412500,402719755,markamodeinv2,Republican,mark  amodei,https://ballotpedia.org/Mark_Amodei
