fec_id,name,state,district,party,office,incumbent_challenge,candidate_status,bioguide_id,ballotpedia_id,govtrack_id,twitter_name,score_norm_abs,partisan_score_twitter,partisan_score_nominate,partisan_score_govtrack,compete_ideology,compete_cookpvi,compete_eff_gap
H2CO07170,"AADLAND, ERIK",CO,07,REPUBLICAN PARTY,House,Open seat,P,NA,Erik_Aadland,NA,aadlandforco,0.8872720264599963,0.4191033138401559,NA,NA,0.036794385882237046,4,0.11246423599391316
H2UT03280,"AALDERS, TIM",UT,03,REPUBLICAN PARTY,House,Challenger,C,NA,Tim_Aalders,NA,NA,NA,NA,NA,NA,0.3755338432284976,13,0.013940390001468784
H2CA30291,"AAZAMI, SHERVIN",CA,32,DEMOCRATIC PARTY,House,Challenger,N,NA,Shervin_Aazami,NA,aazamishervin,NA,NA,NA,NA,0.5913114631082542,20,0.12857603509111704
H2MN07162,"ABAHSAIN, JILL",MN,07,DEMOCRATIC-FARMER-LABOR,House,Challenger,P,NA,NA,NA,NA,NA,NA,NA,NA,0.546851728327614,19,0.11912769964736368
H2NY12197,"ABDELHAMID, RANA",NY,12,DEMOCRATIC PARTY,House,Challenger,P,NA,NA,NA,NA,NA,NA,NA,NA,0.6884039402123068,34,0.014912861980209352
H2MN05174,"ABDIRAHMAN, SHUKRI ABDULLAHI MS.",MN,05,REPUBLICAN PARTY,House,Challenger,P,NA,NA,NA,NA,NA,NA,NA,NA,0.6777559478670772,30,0.02393437811115638
H2OH09197,"ABDULLAHI, MUNIRA YASIN",OH,09,DEMOCRATIC PARTY,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.23557835712961794,3,0.04113608936458589
H0CA50129,"ABED, SAM",CA,50,REPUBLICAN PARTY,House,Challenger,C,NA,NA,NA,NA,NA,NA,NA,NA,0.27961814864775325,14,0.13397968415294623
H2NY04251,"ABELOVE, JASON L",NY,04,DEMOCRATIC PARTY,House,Challenger,N,NA,NA,NA,NA,NA,NA,NA,NA,0.1939573338590158,5,0.046799079451946675
H2HI01146,"ABKIN, STEVEN L.",HI,01,NONPARTISAN,House,Challenger,N,NA,Steven_Abkin,NA,NA,NA,NA,NA,NA,0.29226737713123674,14,0.04996190397519908
H2MN01371,"ABRAHAMSON, BRIAN",MN,01,OTHER,House,Challenger,N,NA,Brian_Abrahamson,NA,NA,NA,NA,NA,NA,0.29335619695034953,7,0.08726562818970315
H2SC04154,"ABUZEID, GEORGE ASSAD",SC,04,REPUBLICAN PARTY,House,Challenger,P,NA,George_Abuzeid,NA,georgeabuzeidsc,NA,NA,NA,NA,0.4524545713946255,12,0.06291759945077735
H2NH01254,"ACCIARD, JULIAN MARC",NH,01,REPUBLICAN PARTY,House,Challenger,P,NA,NA,NA,NA,NA,NA,NA,NA,0.010310916096510914,0,0.10938805171201105
H2CA18171,"ACEVEDO-ARREGUIN, LUIS",CA,18,DEMOCRATIC PARTY,House,Challenger,P,NA,NA,NA,NA,NA,NA,NA,NA,0.31025749647988987,21,0.08223975962053073
