name,party_chr,party_num,state,district,partisanship
"AADLAND, ERIK",Republican,1,CO,7,0.8856058094623809
"ADAMS, ALMA SHEALEY",Democrat,0,NC,12,0.8472656038916839
"ADKINS, AMANDA",Republican,1,KS,3,0.9189678796498708
"AGUILAR, PETE",Democrat,0,CA,33,0.8766105619660298
"AIKEN, CLAYTON CLAY",Democrat,0,NC,4,0.16954682329603932
"AKANA, JOSEPH",Republican,1,HI,2,0.5030321588322682
"AL-ABDRABBUH, SAMI",Democrat,0,OR,4,0.8701748993129306
"ALCIERE, TOM",Republican,1,NH,1,0.8369332236604659
"ALCUBILLA, SERGIO JOSEPHUS MR. III",Democrat,0,HI,1,0.8260463996210748
"ALEXANDER, TIMOTHY C",Democrat,0,NJ,2,0.8495629062650694
"ALFONSO, JOSEPH",Democrat,0,MI,4,0.8534985551497265
"ALLEN, RICHARD W",Republican,1,GA,12,0.9033295591175217
"ALLRED, COLIN",Democrat,0,TX,32,0.8463937519635452
"ALMONORD, VALBRUN DR.",Democrat,0,GA,3,0.849566049911567
"ALTMAN, LARRY THOMAS III",Republican,1,VA,2,0.936759126018498
"AMODEI, MARK EUGENE",Republican,1,NV,2,0.3916863363301262
"ANDERSON, DAVID LEE JR",Democrat,0,TX,21,0.2869541985939138
"ANDERSON, DERRICK",Republican,1,VA,7,0.919732098251181
"ANDERSON, TOBY",Republican,1,NJ,11,0.8528360603576011
"ANDREWS, JEANETTE",Republican,1,KY,5,0.8857143241550163
"ANDREWS, NAOMI",Democrat,0,OK,2,0.8853933893664048
"ANGEL, ANGELA",Democrat,0,MD,4,0.26112025802596617
"ARENHOLZ, ASHLEY HINSON",Republican,1,IA,2,0.9272197090209682
"ARMENDARIZ-JACKSON, IRENE",Republican,1,TX,16,0.9160187434044025
"ARMSTRONG, KELLY",Republican,1,ND,0,0.8912756661790744
"ARRINGTON, JODEY",Republican,1,TX,19,0.9314309354025572
"ASENCIO, ROBERT",Democrat,0,FL,28,0.8377819259141579
"ATENCIO, RUDY A",Republican,1,TX,7,0.8943494260840956
"AUCHINCLOSS, JAKE",Democrat,0,MA,4,0.78116429497090345
"AUSTIN, GERALD DARRYLL",Republican,1,NC,6,0.9194940068516733
"BAAN, ANDY",Republican,1,VA,2,0.9100393366275354
"BABBAGE, LISA NOEL DR.",Republican,1,GA,7,0.8894154677113528
"BABIN, BRIAN",Republican,1,TX,36,0.920609278956392
"BACON, DONALD J",Republican,1,NE,2,0.8963656769702539
"BAH, OMAR",Democrat,0,RI,2,0.8474967630159944
"BAIRD, JAMES R DR.",Republican,1,IN,4,0.9310860497280002
"BALDERRAMOS ROBINSON, CORINNA",Democrat,0,FL,21,0.7145619836201661
"BALDERSON, WILLIAM TROY",Republican,1,OH,12,0.8952819366141305
"BANKS, JAMES E HON.",Republican,1,IN,3,0.9223304250867612
"BANYAI, CINDY LYN",Democrat,0,FL,19,0.8414749790448748
"BARR, GARLAND ANDY",Republican,1,KY,6,0.9424671981268533
"BARRAGAN, NANETTE",Democrat,0,CA,44,0.846767636661763
"BARRY, CHARITY",Republican,1,WI,2,0.5837260330544354
"BASS, KAREN",Democrat,0,CA,37,0.8863036939382768
"BEACH, EMILY",Democrat,0,CA,15,0.8387050271266552
"BEAN, AARON P.",Republican,1,FL,4,0.8889534994296764
"BEATTY, JOYCE",Democrat,0,OH,3,0.8797707683459763
"BECK, JOEL",Republican,1,NV,2,0.850150918755358
